QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
102964,Sports & Games,Olympic Sports,Easy,600,Which of these is an Olympic sport played on ice?,Soccer,Ice Hockey,Tennis,Basketball,Ice Hockey
102964,Sports & Games,Olympic Sports,Easy,600,"What sport involves swimming, cycling, and running in the Olympics?",Marathon,Decathlon,Triathlon,Pentathlon,Triathlon
102964,Sports & Games,Olympic Sports,Easy,600,"Which Olympic sport uses a net and a ball, often played on a court?",Golf,Archery,Volleyball,Boxing,Volleyball
102964,Sports & Games,Olympic Sports,Easy,600,In which Olympic sport do athletes compete by running around a track?,Gymnastics,Swimming,Athletics,Weightlifting,Athletics
102964,Sports & Games,Olympic Sports,Easy,600,Which sport is played with a racket and a shuttlecock in the Olympics?,Tennis,Table Tennis,Badminton,Squash,Badminton
102964,Sports & Games,Olympic Sports,Easy,600,"What Olympic sport involves performing routines on bars, beams, and mats?",Diving,Gymnastics,Fencing,Wrestling,Gymnastics
102964,Sports & Games,Olympic Sports,Easy,600,Which Olympic sport is played in a pool with goals at each end?,Water Polo,Rowing,Sailing,Canoeing,Water Polo
102964,Sports & Games,Olympic Sports,Easy,600,What is the primary sport in the Olympics that involves lifting heavy weights?,Boxing,Judo,Weightlifting,Taekwondo,Weightlifting
102964,Sports & Games,Olympic Sports,Easy,600,Which Olympic sport involves shooting arrows at a target?,Shooting,Archery,Fencing,Golf,Archery
102964,Sports & Games,Olympic Sports,Easy,600,What sport in the Olympics involves two opponents fighting with swords?,Wrestling,Boxing,Judo,Fencing,Fencing
