QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
478922,Lifestyle & Society,Relationships,Medium,900,"What is the term for a close, long-term relationship between two individuals who are not romantically involved?",Friendship,Family,Colleagues,Acquaintances,OptionA
478922,Lifestyle & Society,Relationships,Medium,900,Which of the following is a characteristic of a healthy relationship?,Emotional manipulation,Mutual respect,Financial dependence,Social isolation,OptionB
478922,Lifestyle & Society,Relationships,Medium,900,Which stage of a romantic relationship involves getting to know each other and building a connection?,Commitment,Dating,Intimacy,Maintenance,OptionB
478922,Lifestyle & Society,Relationships,Medium,900,What is the term for a marriage that ends due to the couple's decision to separate?,Divorce,Annulment,Separation,Alienation,OptionA
478922,Lifestyle & Society,Relationships,Medium,900,Which of the following is a sign of an unhealthy attachment style?,Independence,Trust,Constant need for reassurance,Effective communication,OptionC
478922,Lifestyle & Society,Relationships,Medium,900,What is the term for a person who is in a romantic relationship with someone who is already married?,Mistress,Girlfriend,Partner,Companion,OptionA
478922,Lifestyle & Society,Relationships,Medium,900,Which of the following is a benefit of having a strong support network?,Increased stress,Decreased mental health,Improved well-being,Reduced social connections,OptionC
478922,Lifestyle & Society,Relationships,Medium,900,What is the term for a relationship in which both partners have equal power and decision-making authority?,Patriarchal,Matriarchal,Egalitarian,Dictatorial,OptionC
478922,Lifestyle & Society,Relationships,Medium,900,Which of the following is a common challenge faced by couples in a long-distance relationship?,Trust issues,Financial stress,Communication breakdown,All of the above,OptionD
478922,Lifestyle & Society,Relationships,Medium,900,What is the term for a person who is not married or in a committed relationship?,Single,Divorced,Separated,Widowed,OptionA
