QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
899078,General Knowledge,Science & Technology Awareness,Hard,1200,Which principle states that it is impossible to simultaneously know both the exact position and exact momentum of a particle?,Pauli Exclusion Principle,Schrödinger's Cat Paradox,Quantum Entanglement,Heisenberg Uncertainty Principle,D
899078,General Knowledge,Science & Technology Awareness,Hard,1200,What is the name of the enzyme that synthesizes short RNA primers during DNA replication?,DNA Polymerase,Helicase,Primase,Ligase,C
899078,General Knowledge,Science & Technology Awareness,Hard,1200,"In the context of particle physics, what does the Higgs boson impart to other particles?",Charge,Mass,Spin,Color,B
899078,General Knowledge,Science & Technology Awareness,Hard,1200,Which of these is a type of neutron star that emits beams of electromagnetic radiation?,White Dwarf,Quasar,Pulsar,Black Hole,C
899078,General Knowledge,Science & Technology Awareness,Hard,1200,What is the term for a molecule that has the same molecular formula but a different arrangement of atoms in space?,Isotope,Polymer,Allotrope,Isomer,D
899078,General Knowledge,Science & Technology Awareness,Hard,1200,"In cryptography, which algorithm is used for secure key exchange over an unsecured channel?",RSA,AES,SHA-256,Diffie-Hellman,D
899078,General Knowledge,Science & Technology Awareness,Hard,1200,What is the primary greenhouse gas emitted through human activities?,Methane (CH4),Nitrous Oxide (N2O),Chlorofluorocarbons (CFCs),Carbon Dioxide (CO2),D
899078,General Knowledge,Science & Technology Awareness,Hard,1200,Which of the following is a monoclonal antibody used to treat certain cancers by blocking the PD-1 pathway?,Aspirin,Pembrolizumab,Penicillin,Ibuprofen,B
899078,General Knowledge,Science & Technology Awareness,Hard,1200,What is the name of the process by which a material becomes superconducting below a certain critical temperature?,Ferromagnetism,Bose-Einstein Condensation,Superfluidity,Meissner Effect,D
899078,General Knowledge,Science & Technology Awareness,Hard,1200,The boundary between the Earth's crust and the mantle is known as:,Gutenberg Discontinuity,Lehmann Discontinuity,Conrad Discontinuity,Mohorovičić Discontinuity,D
