QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
405826,Academic & Education,Humanities,Hard,1200,"Which philosopher introduced the concept of 'différance' to denote the simultaneous temporal and spatial deferral of meaning, challenging the logocentric tradition of Western metaphysics?",Jacques Lacan,Michel Foucault,Jacques Derrida,Gilles Deleuze,Jacques Derrida
405826,Academic & Education,Humanities,Hard,1200,"Francesco Borromini's architecture, exemplified by works like San Carlo alle Quattro Fontane, often employed complex geometric and curvilinear forms that defied classical tectonic principles. Which term best describes his radical manipulation of architectural elements to create dynamic, sculptural spaces?",Quattrocento Rationalism,Dynamic Baroque Anti-Classicism,Mannerist Formalism,Neoclassical Symmetry,Dynamic Baroque Anti-Classicism
405826,Academic & Education,Humanities,Hard,1200,"In Russian Formalism, what term did Viktor Shklovsky use to describe the artistic technique of presenting common things in an unfamiliar or strange way in order to enhance perception and renew appreciation, distinguishing poetic language from practical language?",Mimesis,Catharsis,Defamiliarization (Ostranenie),Intertextuality,Defamiliarization (Ostranenie)
405826,Academic & Education,Humanities,Hard,1200,"According to G.W.F. Hegel's *Science of Logic*, which triadic progression forms the fundamental starting point for the dialectical unfolding of pure thought, wherein each concept necessarily negates and sublates the previous one?","Thesis, Antithesis, Synthesis","Being, Nothing, Becoming","Essence, Appearance, Actuality","Subject, Object, Spirit","Being, Nothing, Becoming"
405826,Academic & Education,Humanities,Hard,1200,"The Annales School of historiography, prominent in 20th-century France, advocated for a 'total history' that integrated social, economic, and cultural factors over long periods. What specific concept, championed by Fernand Braudel, refers to the very long-term historical structures and trends that underlie events?",Microhistory,Evental History (Histoire événementielle),Longue durée,Cliometrics,Longue durée
405826,Academic & Education,Humanities,Hard,1200,"In Aristophanes' comedic play *The Frogs*, which tragic playwright is critically satirized and eventually defeated in a poetic contest against Aeschylus in the underworld, primarily for his perceived realism, moral ambiguity, and innovation in music?",Sophocles,Euripides,Thespis,Phrynichus,Euripides
405826,Academic & Education,Humanities,Hard,1200,Arnold Schoenberg's development of the twelve-tone technique (dodecaphony) fundamentally aimed to provide a new structural principle for atonal music. What specific theoretical implication did this method have for traditional concepts of melodic hierarchy and harmonic function?,It re-established tonic-dominant relationships through serial permutations.,"It sought the 'emancipation of the dissonance,' where all twelve tones of the chromatic scale are treated as equally important.",It prioritized consonant triads as the foundation for complex counterpoint.,It emphasized improvisation over pre-compositional planning.,"It sought the 'emancipation of the dissonance,' where all twelve tones of the chromatic scale are treated as equally important."
405826,Academic & Education,Humanities,Hard,1200,"In Jean-Paul Sartre's existentialist philosophy, 'bad faith' (mauvaise foi) describes a form of self-deception where individuals deny their radical freedom and responsibility by pretending to be a 'thing' or conforming to pre-defined roles. Which of the following is NOT a characteristic of bad faith?",Attributing one's choices to external circumstances or social roles.,Acknowledging one's absolute freedom and the anguish it entails.,Seeking refuge in deterministic explanations for one's actions.,Treating oneself as an object rather than a subject.,Acknowledging one's absolute freedom and the anguish it entails.
405826,Academic & Education,Humanities,Hard,1200,"In Advaita Vedanta, a school of Hindu philosophy, what is the ultimate non-dual reality that is identical with the individual self (Atman), and yet is often obscured by the illusory power of Maya?",Dharma,Karma,Brahman,Moksha,Brahman
405826,Academic & Education,Humanities,Hard,1200,"Which postcolonial theorist introduced the concept of 'mimicry' to describe the ambivalent colonial strategy of civilizing the 'native' by transforming them into a partial, almost-the-same-but-not-quite copy of the colonizer, thereby simultaneously normalizing and problematizing colonial authority?",Edward Said,Gayatri Chakravorty Spivak,Homi K. Bhabha,Frantz Fanon,Homi K. Bhabha
