QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
665225,Entertainment & Pop Culture,Music,Medium,900,"Which British rock band, formed in 1960, is known for hits like 'I Want to Hold Your Hand' and 'Yesterday'?",The Rolling Stones,The Beatles,Queen,Led Zeppelin,The Beatles
665225,Entertainment & Pop Culture,Music,Medium,900,Which American singer-songwriter is known for her powerful voice and hit songs like 'Respect' and 'Chain of Fools'?,Tina Turner,Janis Joplin,Aretha Franklin,Whitney Houston,Aretha Franklin
665225,Entertainment & Pop Culture,Music,Medium,900,"Which music festival, held on a dairy farm in New York in 1969, featured performances by Jimi Hendrix and The Who?",Coachella,Lollapalooza,Woodstock,Bonnaroo,Woodstock
665225,Entertainment & Pop Culture,Music,Medium,900,"Which Australian rock band, formed in 1973, is known for hits like 'Highway to Hell' and 'Back in Black'?",INXS,Midnight Oil,AC/DC,Men at Work,AC/DC
665225,Entertainment & Pop Culture,Music,Medium,900,"Which American rapper, born in 1971, is known for his debut album 'The Chronic' and hit songs like 'Nuthin' But a G Thang'?",Tupac Shakur,The Notorious B.I.G.,Dr. Dre,Snoop Dogg,Dr. Dre
665225,Entertainment & Pop Culture,Music,Medium,900,"Which pop star, born in 1989, is known for hit songs like 'Thank U, Next' and '7 Rings'?",Taylor Swift,Katy Perry,Lady Gaga,Ariana Grande,Ariana Grande
665225,Entertainment & Pop Culture,Music,Medium,900,"Which music genre, originating in the southern United States, is characterized by its strong emphasis on storytelling and acoustic instruments?",Country,Blues,Jazz,Folk,Country
665225,Entertainment & Pop Culture,Music,Medium,900,"Which rock band, formed in 1977, is known for hits like 'Bohemian Rhapsody' and 'We Will Rock You'?",Def Leppard,Guns N' Roses,Queen,Van Halen,Queen
665225,Entertainment & Pop Culture,Music,Medium,900,"Which singer-songwriter, born in 1947, is known for his hit songs like 'Fire and Rain' and 'Sweet Baby James'?",Elton John,Billy Joel,James Taylor,Carole King,James Taylor
665225,Entertainment & Pop Culture,Music,Medium,900,"Which hip-hop group, formed in 1991, is known for hits like 'Jump' and 'Regulate'?",Wu-Tang Clan,Beastie Boys,Warren G ft. Nate Dogg,A Tribe Called Quest,Warren G ft. Nate Dogg
