QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
586203,"AI, Ethics & Future",Future of Work,Easy,600,Which technology is expected to play a major role in the future of work?,Steam Engines,Artificial Intelligence,Typewriters,Telegrams,Artificial Intelligence
586203,"AI, Ethics & Future",Future of Work,Easy,600,What does 'AI' stand for?,Automatic Information,Animal Intelligence,Artificial Intelligence,Advanced Input,Artificial Intelligence
586203,"AI, Ethics & Future",Future of Work,Easy,600,Which job is most likely to be automated by AI?,Data entry clerk,Professional athlete,Artist,Psychologist,Data entry clerk
586203,"AI, Ethics & Future",Future of Work,Easy,600,What is a key ethical concern with the use of AI in workplaces?,Increased vacation days,Job displacement,Bigger office buildings,More parties,Job displacement
586203,"AI, Ethics & Future",Future of Work,Easy,600,Which field will require human judgement even when AI is used?,Legal advice,Simple calculations,Factory assembly,Vehicle maintenance,Legal advice
586203,"AI, Ethics & Future",Future of Work,Easy,600,Why is transparency important in AI systems?,It makes systems faster,It helps users understand decisions,It lowers electricity bills,It increases screen size,It helps users understand decisions
586203,"AI, Ethics & Future",Future of Work,Easy,600,Which of the following is NOT an ethical consideration for AI in the workplace?,Privacy,Bias,Dress code,Fairness,Dress code
586203,"AI, Ethics & Future",Future of Work,Easy,600,"In the future of work, collaboration between humans and AI is known as what?",Human-AI partnership,Solo working,Vacation mode,Manual labor,Human-AI partnership
586203,"AI, Ethics & Future",Future of Work,Easy,600,What must companies do when using AI with personal data?,Ignore rules,Protect privacy,Hire more staff,Switch off computers,Protect privacy
586203,"AI, Ethics & Future",Future of Work,Easy,600,Which is a positive effect of using AI at work?,Slower communication,Reduced productivity,Improved efficiency,Loss of information,Improved efficiency
