QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
554969,Sports & Games,Esports,Hard,1200,Which organization is responsible for organizing the League of Legends World Championship?,Blizzard Entertainment,Valve Corporation,Riot Games,Epic Games,Riot Games
554969,Sports & Games,Esports,Hard,1200,What is the name of the prestigious annual tournament for Counter-Strike: Global Offensive (CS:GO) that features the best teams globally?,DreamHack Masters,ESL One,The International,CS:GO Major Championship,CS:GO Major Championship
554969,Sports & Games,Esports,Hard,1200,"In which year was the first official esports tournament for Dota 2, known as 'The International', held?",2013,2011,2015,2009,2011
554969,Sports & Games,Esports,Hard,1200,Which esports title is known for having the largest prize pool in history for a single tournament?,League of Legends,Counter-Strike: Global Offensive,Fortnite,Dota 2,Dota 2
554969,Sports & Games,Esports,Hard,1200,Who was the first player to win two consecutive EVO championships in Street Fighter IV?,Justin Wong,Daigo Umehara,Hajime Taniguchi,Alex Valle,Daigo Umehara
554969,Sports & Games,Esports,Hard,1200,Which South Korean esports organization is renowned for dominating StarCraft II tournaments during the early 2010s?,Samsung Galaxy,SK Telecom T1,KT Rolster,Jin Air Green Wings,KT Rolster
554969,Sports & Games,Esports,Hard,1200,What is the primary format used in most professional Overwatch League (OWL) matches?,Best of 3,Best of 5,Single Elimination,Round Robin,Best of 5
554969,Sports & Games,Esports,Hard,1200,Which game was instrumental in popularizing the battle royale genre in esports competitions?,Apex Legends,Call of Duty: Warzone,PlayerUnknown's Battlegrounds (PUBG),H1Z1,PlayerUnknown's Battlegrounds (PUBG)
554969,Sports & Games,Esports,Hard,1200,"Which region is most dominant in the competitive scene of League of Legends, having won the majority of World Championships?",North America,Europe,China,South Korea,South Korea
554969,Sports & Games,Esports,Hard,1200,What is the name of Valve's esports ranking system for CS:GO Majors that determines team invitations and seeding?,Elo Rating,Regional Major Rankings (RMR),Global Offensive Index,Competitive Matchmaking Rank,Regional Major Rankings (RMR)
