QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
184549,Coding & Interview Prep,HR Interview Questions,Hard,1200,What is the primary goal of a technical interview?,To assess the candidate's communication skills,To evaluate the candidate's technical knowledge and problem-solving abilities,To determine the candidate's cultural fit with the company,To negotiate salary and benefits,OptionB
184549,Coding & Interview Prep,HR Interview Questions,Hard,1200,Which of the following is NOT a common type of technical interview question?,Behavioral question,Situational question,Technical skill assessment,Personal opinion question,OptionD
184549,Coding & Interview Prep,HR Interview Questions,Hard,1200,What is the purpose of a coding challenge in a technical interview?,To test the candidate's coding speed,To evaluate the candidate's coding style and best practices,To assess the candidate's problem-solving skills and technical knowledge,To determine the candidate's familiarity with a specific programming language,OptionC
184549,Coding & Interview Prep,HR Interview Questions,Hard,1200,Which of the following is a key characteristic of a great technical interview question?,It is easy to answer,It is relevant to the job requirements,It is a trick question,It is a copy from a previous interview,OptionB
184549,Coding & Interview Prep,HR Interview Questions,Hard,1200,What is the best way to prepare for a technical interview?,Review the company's website and social media,Practice coding challenges and review technical concepts,Read the book 'Cracking the Coding Interview',Ask a friend to conduct a mock interview,OptionB
184549,Coding & Interview Prep,HR Interview Questions,Hard,1200,What is the purpose of a whiteboarding exercise in a technical interview?,To test the candidate's drawing skills,To evaluate the candidate's ability to communicate technical ideas,To assess the candidate's problem-solving skills and technical knowledge,To determine the candidate's experience with a specific programming language,OptionC
184549,Coding & Interview Prep,HR Interview Questions,Hard,1200,Which of the following is a common mistake candidates make during a technical interview?,Not asking enough questions,Not having a clear understanding of the company's technology stack,Not being honest about their technical skills and experience,All of the above,OptionD
184549,Coding & Interview Prep,HR Interview Questions,Hard,1200,What is the best way to answer a behavioral question during a technical interview?,Tell a story about a project you worked on,Give a generic answer,"Use the STAR method (Situation, Task, Action, Result)",Ask for clarification,OptionC
184549,Coding & Interview Prep,HR Interview Questions,Hard,1200,What is the purpose of a technical screening call?,To assess the candidate's technical knowledge and problem-solving abilities,To evaluate the candidate's communication skills and cultural fit,To determine the candidate's salary expectations,To schedule an on-site interview,OptionA
184549,Coding & Interview Prep,HR Interview Questions,Hard,1200,Which of the following is a key aspect of a successful technical interview?,Asking the candidate to complete a task,Providing feedback and guidance during the interview,Creating a comfortable and relaxed atmosphere,All of the above,OptionD
