QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
880659,Technology & Computing,DevOps,Medium,900,Which of the following is a key principle of DevOps?,Automating all manual tasks,Rigid separation of teams,Slowing down the pipeline to find errors,Limited collaboration between development and operations,Automating all manual tasks
880659,Technology & Computing,DevOps,Medium,900,What does CI/CD stand for in DevOps?,Continuous Integration and Continuous Development,Continuous Improvement and Continuous Delivery,Continuous Integration and Continuous Delivery,Continuous Inspection and Continuous Deployment,Continuous Integration and Continuous Delivery
880659,Technology & Computing,DevOps,Medium,900,Which tool is commonly used for container orchestration in DevOps?,GitHub,Kubernetes,Jenkins,Nagios,Kubernetes
880659,Technology & Computing,DevOps,Medium,900,"In DevOps, what is Infrastructure as Code (IaC)?",Creating infrastructure using visual tools,Managing infrastructure using code,Integrating code directly into production servers,Developing code without any infrastructure management,Managing infrastructure using code
880659,Technology & Computing,DevOps,Medium,900,Which of the following tools is NOT typically associated with DevOps practices?,Ansible,Docker,Photoshop,Terraform,Photoshop
880659,Technology & Computing,DevOps,Medium,900,What is the main purpose of a DevOps pipeline?,To monitor network traffic,To deploy applications securely and efficiently,To manage customer feedback,To store database backups,To deploy applications securely and efficiently
880659,Technology & Computing,DevOps,Medium,900,Which DevOps practice focuses on identifying issues and failures quickly?,Test Automation,Continuous Monitoring,Configuration Management,Release Management,Continuous Monitoring
880659,Technology & Computing,DevOps,Medium,900,What does version control in DevOps help with?,Tracking changes to code,Scaling infrastructure,Managing software licenses,Optimizing network traffic,Tracking changes to code
880659,Technology & Computing,DevOps,Medium,900,Which of the following is a benefit of using automation in DevOps?,Increased manual intervention,Improved deployment speed and reliability,Limited scalability,Complex integration processes,Improved deployment speed and reliability
880659,Technology & Computing,DevOps,Medium,900,What is the role of Jenkins in a DevOps workflow?,Building and automating processes,Cloud infrastructure management,Version control,Network monitoring,Building and automating processes
