QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
503453,Competitive Exams,Banking Exams,Hard,1200,The process by which a bank evaluates the creditworthiness of a borrower is called?,Credit Analysis,Risk Assessment,Loan Structuring,Collateral Assessment,Credit Analysis
503453,Competitive Exams,Banking Exams,Hard,1200,The term 'NPA' in banking stands for?,Net Performing Asset,Non-Performing Asset,Non-Primary Asset,Net Physical Asset,Non-Performing Asset
503453,Competitive Exams,Banking Exams,Hard,1200,What is the primary function of the Reserve Bank of India?,Regulate stock market trading,Manage the foreign exchange reserves,Control and regulate the banking sector,Issue bonds directly to the public,Control and regulate the banking sector
503453,Competitive Exams,Banking Exams,Hard,1200,"Which of the following is NOT a negotiable instrument under the Negotiable Instruments Act, 1881?",Promissory Note,Cheque,Cash Payment,Bill of Exchange,Cash Payment
503453,Competitive Exams,Banking Exams,Hard,1200,A bank branch's annual profit and loss account is directly affected by?,Loan disbursal rate,Non-recovery of loans,Customer savings,Gross domestic product,Non-recovery of loans
503453,Competitive Exams,Banking Exams,Hard,1200,Which of the following is NOT considered a function of a commercial bank?,Providing loans,Accepting deposits,Currency issuance,Facilitating foreign exchange transactions,Currency issuance
503453,Competitive Exams,Banking Exams,Hard,1200,What does 'IMPS' stand for in banking?,Immediate Payment System,Integrated Money Payment Solution,Interbank Monetary Payment System,Instant Money Processing System,Immediate Payment System
503453,Competitive Exams,Banking Exams,Hard,1200,Which financial tool allows central banks to control inflation by mopping up excess cash from the economy?,Repo Rate,Reverse Repo Rate,Statutory Liquidity Ratio,Cash Reserve Ratio,Reverse Repo Rate
503453,Competitive Exams,Banking Exams,Hard,1200,What is one function of a 'Development Bank'?,Providing current accounts to businesses,Facilitating consumer credit,Providing long-term capital to industries,Handling foreign exchange transactions,Providing long-term capital to industries
503453,Competitive Exams,Banking Exams,Hard,1200,Which one of these is a government initiative to promote digital payments in India?,Bharat QR,SBI UPI,Axis Bank Pay,Direct RDS System,Bharat QR
