QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
873679,Competitive Exams,Medical Entrance Exams,Medium,900,Which of the following hormones is NOT produced by the anterior pituitary gland?,Growth Hormone (GH),Thyroid Stimulating Hormone (TSH),Antidiuretic Hormone (ADH),Adrenocorticotropic Hormone (ACTH),Antidiuretic Hormone (ADH)
873679,Competitive Exams,Medical Entrance Exams,Medium,900,The pacemaker of the human heart is the:,Bundle of His,Sinoatrial node,Atrioventricular node,Purkinje fibers,Sinoatrial node
873679,Competitive Exams,Medical Entrance Exams,Medium,900,Which part of the nephron is primarily responsible for the reabsorption of glucose and amino acids?,Glomerulus,Loop of Henle,Distal convoluted tubule,Proximal convoluted tubule,Proximal convoluted tubule
873679,Competitive Exams,Medical Entrance Exams,Medium,900,The universal donor blood group is:,A positive,AB positive,O negative,B negative,O negative
873679,Competitive Exams,Medical Entrance Exams,Medium,900,Which of the following is a function of the large intestine?,Absorption of proteins,Production of bile,Absorption of water and electrolytes,Digestion of carbohydrates,Absorption of water and electrolytes
873679,Competitive Exams,Medical Entrance Exams,Medium,900,"In the human eye, the photoreceptor cells responsible for color vision are:",Rods,Cones,Bipolar cells,Ganglion cells,Cones
873679,Competitive Exams,Medical Entrance Exams,Medium,900,Which enzyme initiates the digestion of proteins in the stomach?,Amylase,Lipase,Trypsin,Pepsin,Pepsin
873679,Competitive Exams,Medical Entrance Exams,Medium,900,The process by which white blood cells engulf and digest pathogens is called:,Hemolysis,Phagocytosis,Pinocytosis,Exocytosis,Phagocytosis
873679,Competitive Exams,Medical Entrance Exams,Medium,900,Which vitamin is synthesized by the human skin upon exposure to sunlight?,Vitamin A,Vitamin C,Vitamin D,Vitamin K,Vitamin D
873679,Competitive Exams,Medical Entrance Exams,Medium,900,The functional unit of the nervous system is:,Axon,Dendrite,Neuron,Synapse,Neuron
