QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
474657,Health & Medicine,Mental Health,Easy,600,What is the primary goal of therapy for mental health?,To diagnose a disease,To understand and manage emotions,To prescribe medication,To perform surgery,To understand and manage emotions
474657,Health & Medicine,Mental Health,Easy,600,Which of the following is a common symptom of depression?,Increased appetite,Loss of interest in activities,Improved sleep quality,Increased energy,Loss of interest in activities
474657,Health & Medicine,Mental Health,Easy,600,What is anxiety disorder?,A type of physical disability,A type of mental health condition,A type of learning disability,A type of neurological disorder,A type of mental health condition
474657,Health & Medicine,Mental Health,Easy,600,Which of the following can help reduce stress?,Watching TV for hours,Playing video games,Exercise and physical activity,Drinking excessive coffee,Exercise and physical activity
474657,Health & Medicine,Mental Health,Easy,600,What is the name of the mental health professional who can prescribe medication?,Psychologist,Therapist,Psychiatrist,Social Worker,Psychiatrist
474657,Health & Medicine,Mental Health,Easy,600,Which of the following is a type of mental health support?,Support group,Book club,Sports team,Gaming community,Support group
474657,Health & Medicine,Mental Health,Easy,600,What is mindfulness?,A type of meditation,A type of exercise,A type of therapy,A type of diet,A type of meditation
474657,Health & Medicine,Mental Health,Easy,600,Which of the following can be a sign of mental health issue?,Good relationships with friends and family,Difficulty sleeping,Good physical health,High self-esteem,Difficulty sleeping
474657,Health & Medicine,Mental Health,Easy,600,What is cognitive-behavioral therapy (CBT)?,A type of physical therapy,A type of talk therapy,A type of medication,A type of surgery,A type of talk therapy
474657,Health & Medicine,Mental Health,Easy,600,Which of the following is important for maintaining good mental health?,Spending most of the time alone,Having a healthy diet and regular exercise,Watching excessive TV,Playing video games for hours,Having a healthy diet and regular exercise
