QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
266609,General Knowledge,Current Affairs,Medium,900,Which country recently joined BRICS during its 2023 expansion?,Saudi Arabia,Argentina,United Arab Emirates,Turkey,United Arab Emirates
266609,General Knowledge,Current Affairs,Medium,900,The G20 Summit 2023 was hosted by which country?,Indonesia,India,United States,Brazil,India
266609,General Knowledge,Current Affairs,Medium,900,Who won the 2023 Nobel Peace Prize?,Maria Ressa,Oleksandra Matviichuk,Narges Mohammadi,Abiy Ahmed,Narges Mohammadi
266609,General Knowledge,Current Affairs,Medium,900,Which country won the FIFA Women’s World Cup in 2023?,England,United States,Spain,Germany,Spain
266609,General Knowledge,Current Affairs,Medium,900,What was the theme of World Environment Day 2023?,Beat Plastic Pollution,Restore the Earth,Clean Energy Transition,Only One Earth,Beat Plastic Pollution
266609,General Knowledge,Current Affairs,Medium,900,Who is the current Director-General of the World Health Organization (WHO)?,Tedros Adhanom Ghebreyesus,Robert Redfield,Antonio Guterres,Ajay Banga,Tedros Adhanom Ghebreyesus
266609,General Knowledge,Current Affairs,Medium,900,Which movie won Best Picture at the 2023 Oscars?,Everything Everywhere All At Once,The Fabelmans,Avatar: The Way of Water,Top Gun: Maverick,Everything Everywhere All At Once
266609,General Knowledge,Current Affairs,Medium,900,Which company became the first to announce an AI-powered chatbot for writing code in 2023?,OpenAI,Microsoft,Google,GitHub,GitHub
266609,General Knowledge,Current Affairs,Medium,900,What was the name of the spacecraft used for India’s Chandrayaan-3 mission?,Shakti Probe,Rover A-23,Pragyan,Vikram,Vikram
266609,General Knowledge,Current Affairs,Medium,900,Which tech company was fined $1.3 billion by the EU in 2023 for violating privacy regulations?,Amazon,Microsoft,Meta,Apple,Meta
