QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
867058,Sports & Games,Athletes & Records,Hard,1200,Who holds the record for the most consecutive games played in the NFL?,Walter Payton,Brett Favre,Joe Montana,Jerry Rice,Brett Favre
867058,Sports & Games,Athletes & Records,Hard,1200,Which tennis player has won the most Grand Slam singles titles?,Novak Djokovic,Rafael Nadal,Serena Williams,Margaret Court,Margaret Court
867058,Sports & Games,Athletes & Records,Hard,1200,Who is the all-time leading scorer in the Premier League?,Thierry Henry,Wayne Rooney,Alan Shearer,Cristiano Ronaldo,Alan Shearer
867058,Sports & Games,Athletes & Records,Hard,1200,Which golfer has won the most Masters Tournament titles?,Arnold Palmer,Jack Nicklaus,Tiger Woods,Gary Player,Jack Nicklaus
867058,Sports & Games,Athletes & Records,Hard,1200,Who holds the world record for the 100m dash?,Carl Lewis,Usain Bolt,Asafa Powell,Linford Christie,Usain Bolt
867058,Sports & Games,Athletes & Records,Hard,1200,"Who is the only tennis player to achieve a 'Golden Slam', winning all four Grand Slam tournaments and the Olympic gold medal in a single year?",Steffi Graf,Serena Williams,Rod Laver,Andre Agassi,Steffi Graf
867058,Sports & Games,Athletes & Records,Hard,1200,Who has won the most Formula 1 World Championships?,Michael Schumacher,Lewis Hamilton,Juan Manuel Fangio,Sebastian Vettel,Lewis Hamilton
867058,Sports & Games,Athletes & Records,Hard,1200,Who holds the record for the most home runs in a single season in Major League Baseball?,Barry Bonds,Mark McGwire,Sammy Sosa,Aaron Judge,Barry Bonds
867058,Sports & Games,Athletes & Records,Hard,1200,Which boxer has won world titles in the most weight divisions?,Muhammad Ali,Sugar Ray Leonard,Manny Pacquiao,Thomas Hearns,Manny Pacquiao
867058,Sports & Games,Athletes & Records,Hard,1200,Who is the youngest player to score 3000 points in the NBA?,LeBron James,Kevin Durant,Kobe Bryant,Shaquille O'Neal,LeBron James
