QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
173232,Coding & Interview Prep,System Design,Easy,600,What is the main purpose of caching in a system?,To increase data redundancy,To speed up data retrieval,To store backup data,To reduce database size,To speed up data retrieval
173232,Coding & Interview Prep,System Design,Easy,600,Which database type is best suited for storing tabular data with fixed columns?,Graph database,Relational database,NoSQL key-value database,Document database,Relational database
173232,Coding & Interview Prep,System Design,Easy,600,What is a load balancer used for in system design?,Distributing requests among multiple servers,Encrypting data in transit,Compressing large files,Hosting static content,Distributing requests among multiple servers
173232,Coding & Interview Prep,System Design,Easy,600,Which term describes making a system continue to work even if some components fail?,Latency,Fault tolerance,Throughput,Sharding,Fault tolerance
173232,Coding & Interview Prep,System Design,Easy,600,Which of the following is a common strategy for horizontal scaling?,Increasing the server CPU,Adding more servers to handle load,Reducing database size,Compressing network traffic,Adding more servers to handle load
173232,Coding & Interview Prep,System Design,Easy,600,"In system design, what does CDN stand for?",Content Delivery Network,Central Data Node,Cloud Data Network,Code Development Node,Content Delivery Network
173232,Coding & Interview Prep,System Design,Easy,600,Which one is an advantage of using microservices architecture?,Monolithic codebase management,No scaling options,Independent service deployment,Single point of failure,Independent service deployment
173232,Coding & Interview Prep,System Design,Easy,600,Which choice best describes a database index?,A backup of database tables,A summary of all stored data,A data structure that speeds up searches,A way to visualize database relationships,A data structure that speeds up searches
173232,Coding & Interview Prep,System Design,Easy,600,Which protocol is mainly used for web communication?,SMTP,FTP,HTTP,SSH,HTTP
173232,Coding & Interview Prep,System Design,Easy,600,What does ‘sharding’ mean in database systems?,Backing up data,Dividing data into smaller parts across servers,Encrypting sensitive information,Compressing large files,Dividing data into smaller parts across servers
