QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
759020,Science & Innovation,Space Science,Hard,1200,What is the primary mechanism by which the universe became transparent to light?,The formation of the first stars,The recombination of electrons and protons,The collapse of the first galaxies,The explosion of supernovae,OptionB
759020,Science & Innovation,Space Science,Hard,1200,Which spacecraft is credited with providing the first high-resolution images of Pluto?,Voyager 1,New Horizons,Cassini,Pioneer 10,OptionB
759020,Science & Innovation,Space Science,Hard,1200,What is the term for the bending of light around a massive object due to gravity?,Gravitational redshift,Gravitational lensing,Frame-dragging,Time dilation,OptionB
759020,Science & Innovation,Space Science,Hard,1200,The search for life elsewhere in the universe is primarily focused on planets within the,Habitable zone,Magnetosphere,Oort Cloud,Kuiper Belt,OptionA
759020,Science & Innovation,Space Science,Hard,1200,What is the name of the largest known star in the universe?,VY Canis Majoris,UY Scuti,VX Sagittarii,KW Sagittarii,OptionA
759020,Science & Innovation,Space Science,Hard,1200,The cosmic microwave background radiation is thought to be a remnant of,The Big Bang,The formation of the first stars,The explosion of supernovae,The collision of galaxies,OptionA
759020,Science & Innovation,Space Science,Hard,1200,Which type of celestial object is known for having such a strong gravitational pull that not even light can escape?,Neutron star,Black hole,White dwarf,Brown dwarf,OptionB
759020,Science & Innovation,Space Science,Hard,1200,The process by which a star like our Sun generates its energy is known as,Nuclear fission,Radioactive decay,Gravitational contraction,Nuclear fusion,OptionD
759020,Science & Innovation,Space Science,Hard,1200,The Voyager 1 spacecraft is now located in the,Heliosphere,Interstellar medium,Kuiper Belt,Oort Cloud,OptionB
759020,Science & Innovation,Space Science,Hard,1200,The phenomenon where the universe's expansion causes galaxies to move away from each other is described by,Hubble's Law,Kepler's Law,Newton's Law,Einstein's Theory of Relativity,OptionA
