QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
580116,Competitive Exams,Government Exams,Easy,600,Which of the following is NOT a fundamental right guaranteed by the Indian Constitution?,Right to Education,Right to Property,Right to Freedom of Speech and Expression,Right to Equality,Right to Property
580116,Competitive Exams,Government Exams,Easy,600,The President of India is elected for a term of how many years?,4 years,6 years,3 years,5 years,5 years
580116,Competitive Exams,Government Exams,Easy,600,Who appoints the Chief Justice of India?,The Prime Minister,The Parliament,The President,The Vice President,The President
580116,Competitive Exams,Government Exams,Easy,600,The Rajya Sabha is also known as the:,People's House,Council of States,Lower House,House of Commons,Council of States
580116,Competitive Exams,Government Exams,Easy,600,What is the minimum age to be eligible to vote in India?,21 years,16 years,18 years,20 years,18 years
580116,Competitive Exams,Government Exams,Easy,600,Which of the following is a Union Territory of India?,Rajasthan,Karnataka,Chandigarh,Bihar,Chandigarh
580116,Competitive Exams,Government Exams,Easy,600,The power to declare war or peace rests with whom in India?,The Prime Minister,The President,The Parliament,The Army Chief,The Parliament
580116,Competitive Exams,Government Exams,Easy,600,The term 'Satyameva Jayate' inscribed below the base plate of the emblem of India has been taken from:,Rigveda,Mundaka Upanishad,Samaveda,Atharvaveda,Mundaka Upanishad
580116,Competitive Exams,Government Exams,Easy,600,Who is the head of the state government?,Governor,Chief Minister,President,Prime Minister,Governor
580116,Competitive Exams,Government Exams,Easy,600,Planning Commission in India was replaced by which entity?,Finance Commission,NITI Aayog,Economic Advisory Council,National Development Council,NITI Aayog
