QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
946902,Business & Finance,Marketing,Medium,900,Which of the following is not one of the four Ps of marketing?,Product,Price,Promotion,Profit,D
946902,Business & Finance,Marketing,Medium,900,What is the primary purpose of market segmentation?,To increase production costs,To identify and target specific customer groups,To reduce product variety,To eliminate competition,B
946902,Business & Finance,Marketing,Medium,900,Which stage of the consumer decision process involves weighing the pros and cons of different options?,Need recognition,Information search,Evaluation of alternatives,Purchase,C
946902,Business & Finance,Marketing,Medium,900,Brand equity is best described as:,The perceived value and strength of a brand in the marketplace,The value of a company's physical assets,The cost of advertising campaigns,The number of products sold under the brand,A
946902,Business & Finance,Marketing,Medium,900,Which component of SWOT analysis helps identify external factors that could harm the business?,Strengths,Weaknesses,Opportunities,Threats,D
946902,Business & Finance,Marketing,Medium,900,What is a differentiation strategy in marketing?,Competing solely on price,Making products identical to those of competitors,Creating unique products or services to stand out,Reducing the features of a product to lower costs,C
946902,Business & Finance,Marketing,Medium,900,What does SEO stand for in digital marketing?,Social Engine Optimization,Search Engine Optimization,Site Engine Optimization,Search Engine Operation,B
946902,Business & Finance,Marketing,Medium,900,Which pricing strategy involves setting a high initial price to skim revenue from early adopters?,Skimming pricing,Penetration pricing,Competitive pricing,Cost-plus pricing,A
946902,Business & Finance,Marketing,Medium,900,"Which element of the promotion mix involves direct, face-to-face communication between the seller and buyer?",Advertising,Sales promotion,Public relations,Personal selling,D
946902,Business & Finance,Marketing,Medium,900,"In the product life cycle, what typically happens to sales during the decline stage?",Rapid growth,Stabilization at high levels,Gradual decrease,Significant increase due to innovations,C
