QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
185882,Health & Medicine,Public Health,Easy,600,What is the primary goal of public health?,To treat individual patients,To prevent disease and promote health,To conduct medical research,To manage healthcare systems,To prevent disease and promote health
185882,Health & Medicine,Public Health,Easy,600,Which of the following is a key component of public health infrastructure?,Hospitals and clinics,Laboratories and surveillance systems,Pharmaceutical companies,Medical equipment suppliers,Laboratories and surveillance systems
185882,Health & Medicine,Public Health,Easy,600,"What is the term for the study of the distribution and determinants of health-related events, diseases, or health-related characteristics among populations?",Epidemiology,Biostatistics,Health education,Environmental health,Epidemiology
185882,Health & Medicine,Public Health,Easy,600,Which of the following public health strategies aims to prevent disease by reducing or eliminating risk factors?,Treatment and management,Health promotion and education,Primary prevention,Palliative care,Primary prevention
185882,Health & Medicine,Public Health,Easy,600,What is the role of health education in public health?,To provide medical treatment,To conduct research and surveillance,To promote healthy behaviors and inform the public about health issues,To manage healthcare systems,To promote healthy behaviors and inform the public about health issues
185882,Health & Medicine,Public Health,Easy,600,Which of the following is an example of a public health intervention?,Surgery to repair a heart valve,Implementation of a vaccination program,Development of a new pharmaceutical drug,Construction of a new hospital building,Implementation of a vaccination program
185882,Health & Medicine,Public Health,Easy,600,What is the term for the process of identifying and addressing health disparities and inequities?,Health promotion,Disease prevention,Health equity,Social determinants of health,Health equity
185882,Health & Medicine,Public Health,Easy,600,Which of the following is a key principle of public health ethics?,Respect for individual autonomy,Protection of confidentiality,Promotion of the greater good,All of the above,Promotion of the greater good
185882,Health & Medicine,Public Health,Easy,600,What is the role of policy and planning in public health?,To provide medical treatment,To conduct research and surveillance,To develop and implement policies and plans to promote health and prevent disease,To manage healthcare systems,To develop and implement policies and plans to promote health and prevent disease
185882,Health & Medicine,Public Health,Easy,600,Which of the following is an example of a public health outcome measure?,Number of patients treated,Number of hospital beds available,Infant mortality rate,Number of medical procedures performed,Infant mortality rate
