QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
646512,Science & Innovation,Research & Discoveries,Medium,900,What is the primary purpose of the Large Hadron Collider?,To study the properties of black holes,To discover new subatomic particles,To explore the surface of Mars,To understand the origins of the universe,B
646512,Science & Innovation,Research & Discoveries,Medium,900,Which scientist is credited with the discovery of the theory of continental drift?,Charles Darwin,Alfred Wegener,James Hutton,Marie Curie,B
646512,Science & Innovation,Research & Discoveries,Medium,900,What is the term for the process by which the universe became transparent to light?,Recombination,Dark Matter formation,Cosmic Inflation,Nucleosynthesis,A
646512,Science & Innovation,Research & Discoveries,Medium,900,Who is credited with the discovery of the first antibiotic?,Alexander Fleming,Louis Pasteur,Robert Koch,Selman Waksman,A
646512,Science & Innovation,Research & Discoveries,Medium,900,What is the name of the largest known star in the universe?,VY Canis Majoris,Betelgeuse,Sirius,UY Scuti,A
646512,Science & Innovation,Research & Discoveries,Medium,900,The process of generating electricity from the energy released by splitting atoms is known as:,Nuclear Fission,Nuclear Fusion,Solar Power,Geothermal Energy,A
646512,Science & Innovation,Research & Discoveries,Medium,900,The discovery of which element led to the development of the first practical nuclear reactor?,Uranium,Plutonium,Radium,Thorium,A
646512,Science & Innovation,Research & Discoveries,Medium,900,What is the term for the hypothetical particle thought to be responsible for giving other particles mass?,Photon,Gluon,Higgs Boson,Graviton,C
646512,Science & Innovation,Research & Discoveries,Medium,900,The Voyager 1 spacecraft is notable for being the most distant human-made object in space. Where is it currently located?,In orbit around Jupiter,In the Kuiper Belt,In the Oort Cloud,In interstellar space,D
646512,Science & Innovation,Research & Discoveries,Medium,900,The CRISPR-Cas9 gene editing tool is based on a defense mechanism found in which type of organism?,Bacteria,Viruses,Fungi,Plants,A
