QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
516997,Lifestyle & Society,Social Trends,Hard,1200,What is the term for the increasing trend of people delaying marriage and childbirth to pursue education and career goals?,Demographic shift,Social mobility,Delayed gratification,The Second Demographic Transition,The Second Demographic Transition
516997,Lifestyle & Society,Social Trends,Hard,1200,Which of the following is a characteristic of the gig economy?,Long-term employment contracts,Job security,"Prevalence of short-term, flexible work arrangements",Centralized management,"Prevalence of short-term, flexible work arrangements"
516997,Lifestyle & Society,Social Trends,Hard,1200,The trend of increasing urbanization is primarily driven by?,Government policies,Environmental factors,Economic opportunities,Cultural preferences,Economic opportunities
516997,Lifestyle & Society,Social Trends,Hard,1200,"What is the name of the generation born between 1997 and 2012, characterized by growing up with the internet and social media?",Generation X,Millennials,Generation Z,Generation Alpha,Generation Z
516997,Lifestyle & Society,Social Trends,Hard,1200,The rise of social media has led to an increase in?,Face-to-face interactions,Social isolation,Community engagement,Social capital,Social isolation
516997,Lifestyle & Society,Social Trends,Hard,1200,Which social trend is characterized by a growing awareness and advocacy for environmental and social causes?,Consumerism,Materialism,Conscious consumerism,Nationalism,Conscious consumerism
516997,Lifestyle & Society,Social Trends,Hard,1200,The increasing diversity of the global population is resulting in?,Cultural homogenization,Cultural fragmentation,Increased globalization,More multicultural societies,More multicultural societies
516997,Lifestyle & Society,Social Trends,Hard,1200,What is the term for the trend of people choosing to remain childfree?,Childlessness,Pronatalism,Familism,"DINK (Dual Income, No Kids)",Childlessness
516997,Lifestyle & Society,Social Trends,Hard,1200,The aging population in many countries is leading to?,Increased workforce participation,Changes in pension and healthcare systems,Decreased burden on younger generations,Increased social security benefits,Changes in pension and healthcare systems
516997,Lifestyle & Society,Social Trends,Hard,1200,The trend towards remote work is primarily driven by?,Advances in technology,Changes in workforce demographics,Shifts in management culture,All of the above,All of the above
