QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
784041,General Knowledge,History,Medium,900,"On which aircraft carrier did the Doolitte Raid launch from on April 18, 1942 during World War II?",USS Hornet,USS Enterprise,USS Saratoga,USS Lexington,USS Hornet
784041,General Knowledge,History,Medium,900,"Which infamous European traitor was known as ""the last person to enter Parliament with honest intentions""?",Everard Digby,Guy Fawkes,Robert Catesby,Francis Tresham,Guy Fawkes
784041,General Knowledge,History,Medium,900,Who was the first explorer to sail to North America?,Leif Erikson,Ferdinand Magellan,Christopher Columbus,Amerigo Vespucci,Leif Erikson
784041,General Knowledge,History,Medium,900,"When did L. L. Zamenhof first publish ""Unua Libro"", the first publication describing his international language Esperanto?",1887,1905,1897,1915,1887
784041,General Knowledge,History,Medium,900,When did the Battle of the Bulge end?,"December 16, 1944","August 6, 1945","December 7, 1941","January 25, 1945","January 25, 1945"
784041,General Knowledge,History,Medium,900,Who was the first President of the People's Republic of China?,Dong Biwu,Li Xiannian,Mao Zedong,Liu Shaoqi,Mao Zedong
784041,General Knowledge,History,Medium,900,Which of these founding fathers of the United States of America later became president?,Roger Sherman,Alexander Hamilton,Samuel Adams,James Monroe,James Monroe
784041,General Knowledge,History,Medium,900,"What was the transfer of disease, crops, and people across the Atlantic shortly after the discovery of the Americas called?",The Silk Road,The Columbian Exchange,Transatlantic Slave Trade,Triangle Trade,The Columbian Exchange
784041,General Knowledge,History,Medium,900,"In the War of the Pacific (1879 - 1883), Bolivia lost its access to the Pacific Ocean after being defeated by which South American country?",Brazil,Chile,Argentina,Peru,Chile
784041,General Knowledge,History,Medium,900,Which U.S. President was famously 'attacked' by a swimming rabbit?,Gerald Ford,Ronald Reagan,Jimmy Carter,Lydon B. Johnson,Jimmy Carter
