QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
195715,Science & Innovation,Chemistry,Hard,1200,What is the process by which an atom gains or loses electrons to form ions?,Ionization,Electrolysis,Ion exchange,Ion formation,A
195715,Science & Innovation,Chemistry,Hard,1200,What type of bond involves the sharing of a pair of electrons between two atoms?,Ionic bond,Covalent bond,Hydrogen bond,Electrostatic bond,B
195715,Science & Innovation,Chemistry,Hard,1200,What is the term for the minimum amount of energy required for a chemical reaction to occur?,Activation energy,Reaction energy,Kinetic energy,Potential energy,A
195715,Science & Innovation,Chemistry,Hard,1200,Which of the following elements is a noble gas?,Nitrogen,Oxygen,Neon,Carbon,C
195715,Science & Innovation,Chemistry,Hard,1200,What is the process by which a solid changes directly to a gas?,Melting,Boiling,Sublimation,Deposition,C
195715,Science & Innovation,Chemistry,Hard,1200,What is the pH of a neutral solution?,0,7,14,10,B
195715,Science & Innovation,Chemistry,Hard,1200,Which of the following compounds is an example of an alkane?,Ethene,Ethyne,Methane,Ethanol,C
195715,Science & Innovation,Chemistry,Hard,1200,What is the term for the study of the rates of chemical reactions?,Kinetics,Thermodynamics,Electrochemistry,Photochemistry,A
195715,Science & Innovation,Chemistry,Hard,1200,What is the type of isomerism that occurs when two molecules have the same molecular formula but differ in their three-dimensional arrangement of atoms?,Structural isomerism,Stereoisomerism,Tautomerism,Metamerism,B
195715,Science & Innovation,Chemistry,Hard,1200,What is the catalyst used in the Haber process for the production of ammonia?,Iron,Copper,Nickel,Platinum,A
