QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
163204,General Knowledge,World Affairs,Hard,1200,Which country was suspended from the UN Human Rights Council in April 2022 over allegations of war crimes?,Syria,Myanmar,Russia,Ethiopia,OptionC
163204,General Knowledge,World Affairs,Hard,1200,The 'Three Seas Initiative' primarily involves cooperation among countries bordering which bodies of water?,"Black Sea, Caspian Sea, and Aral Sea","Adriatic Sea, Baltic Sea, and Black Sea","Mediterranean Sea, Red Sea, and Arabian Sea","North Sea, Baltic Sea, and Norwegian Sea",OptionB
163204,General Knowledge,World Affairs,Hard,1200,Which international treaty established the International Criminal Court (ICC)?,Vienna Convention,Geneva Conventions,Rome Statute,Maastricht Treaty,OptionC
163204,General Knowledge,World Affairs,Hard,1200,"The 'A/AScWa' agreement, signed in 2023, aims to prevent conflict over water resources between which two countries?",India and Pakistan,Egypt and Sudan,Israel and Jordan,Uzbekistan and Kazakhstan,OptionD
163204,General Knowledge,World Affairs,Hard,1200,Which country holds the world's largest foreign exchange reserves as of 2023?,Japan,China,Saudi Arabia,Switzerland,OptionB
163204,General Knowledge,World Affairs,Hard,1200,The 'AUKUS' security pact primarily focuses on technology sharing related to:,Hypersonic missile defense,Nuclear-powered submarines,Quantum computing,Satellite surveillance networks,OptionB
163204,General Knowledge,World Affairs,Hard,1200,Which African country was readmitted to the African Union in January 2024 after a 3-year suspension?,Sudan,Mali,Guinea,Burkina Faso,OptionC
163204,General Knowledge,World Affairs,Hard,1200,The 'Chip 4 Alliance' is a semiconductor cooperation initiative involving all EXCEPT:,South Korea,Japan,Taiwan,Vietnam,OptionD
163204,General Knowledge,World Affairs,Hard,1200,Which country currently hosts the largest number of UN-designated refugees?,Turkey,Germany,Pakistan,Uganda,OptionA
163204,General Knowledge,World Affairs,Hard,1200,The 'Shanghai Cooperation Organization' expanded in 2023 by granting full membership to:,Saudi Arabia,Iran,Egypt,Qatar,OptionB
