QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
532629,Coding & Interview Prep,Algorithms,Hard,1200,What is the primary advantage of using a min-heap data structure in a priority queue?,Faster search times,Efficient insertion and deletion of elements,Guaranteed maximum size,Improved caching performance,OptionB
532629,Coding & Interview Prep,Algorithms,Hard,1200,Which sorting algorithm has an average-case time complexity of O(n log n) and is known for its stability?,Merge Sort,Quick Sort,Heap Sort,Radix Sort,OptionA
532629,Coding & Interview Prep,Algorithms,Hard,1200,What is the time complexity of the Floyd Warshall algorithm for finding the shortest path in a weighted graph with n vertices?,O(n^2),O(n^3),O(n log n),O(n log^2 n),OptionB
532629,Coding & Interview Prep,Algorithms,Hard,1200,Which data structure is commonly used to implement a Least Recently Used (LRU) cache eviction policy?,Linked List,Hash Table,Stack,Queue,OptionB
532629,Coding & Interview Prep,Algorithms,Hard,1200,What is the primary advantage of using a Binary Indexed Tree (Fenwick Tree) over a prefix sum array?,Faster update times,More efficient use of memory,Improved cache locality,Simplified implementation,OptionA
532629,Coding & Interview Prep,Algorithms,Hard,1200,"Which algorithm is used to find the maximum single-sale profit that can be achieved by buying and selling a stock once, given a list of daily stock prices?",Greedy Algorithm,Dynamic Programming,Binary Search,Two-Pointer Technique,OptionB
532629,Coding & Interview Prep,Algorithms,Hard,1200,What is the time complexity of the Rabin-Karp string searching algorithm?,O(n*m),O(n+m),O(n log m),O(n log^2 m),OptionB
532629,Coding & Interview Prep,Algorithms,Hard,1200,Which data structure is commonly used to implement a breadth-first search (BFS) traversal of a graph?,Stack,Queue,Linked List,Hash Table,OptionB
532629,Coding & Interview Prep,Algorithms,Hard,1200,What is the primary advantage of using a Suffix Tree data structure over a Suffix Array?,Faster construction times,Improved query performance,More efficient use of memory,Simplified implementation,OptionB
532629,Coding & Interview Prep,Algorithms,Hard,1200,"Which algorithm is used to find the minimum spanning tree of a weighted graph, given a set of edges and their weights?",Prim's Algorithm,Kruskal's Algorithm,Dijkstra's Algorithm,Bellman-Ford Algorithm,OptionA
