QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
162823,Science & Innovation,Physics,Hard,1200,What is the most potent toxin known?,Cyanide,Asbestos,Botulinum toxin,Ricin,Botulinum toxin
162823,Science & Innovation,Physics,Hard,1200,What is isobutylphenylpropanoic acid more commonly known as?,Morphine,Aspirin,Ibuprofen,Ketamine,Ibuprofen
162823,Science & Innovation,Physics,Hard,1200,"In physics, conservation of energy and conservation of momentum are both consequences of which of the following?",Bell's Theorem,Wick's Theorem,Noether's Theorem,Carnot's Theorem,Noether's Theorem
162823,Science & Innovation,Physics,Hard,1200,All of the following human genetic haplogroup names are shared between Y-chromosome and mitochondrial DNA haplogroups EXCEPT:,Haplogroup T,Haplogroup L,Haplogroup J,Haplogroup U,Haplogroup U
162823,Science & Innovation,Physics,Hard,1200,"What common name is given to the medial condition, tibial stress syndrome (MTSS)?",Tennis Elbow,Carpal Tunnel,Housemaid's Knee,Shin Splints,Shin Splints
162823,Science & Innovation,Physics,Hard,1200,Which of these animals belongs in class Chondrichthyes?,Killer whale,Catfish,Great white shark,Octopus,Great white shark
162823,Science & Innovation,Physics,Hard,1200,What is considered the rarest form of color blindness?,Red,Purple,Green,Blue,Blue
162823,Science & Innovation,Physics,Hard,1200,What is the name for the auditory illusion of a note that seems to be rising infinitely?,McGurck Effect,Glissandro Illusion,Fransen Effect,Shepard Tone,Shepard Tone
162823,Science & Innovation,Physics,Hard,1200,"Which of the following is the term for ""surgical complications resulting from surgical sponges left inside the patient's body?",Jentacular,Meupareunia,Gossypiboma,Gongoozler,Gossypiboma
162823,Science & Innovation,Physics,Hard,1200,Which of the following elements is typically used in the doping of the semiconductor silicon?,Carbon,Iron,Boron,Oxygen,Boron
