QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
624374,Fun & Casual,Guess the Answer,Medium,900,What is the name of the toy cowboy in the 'Toy Story' movies?,Woody,Buzz,Jessie,Rex,Woody
624374,Fun & Casual,Guess the Answer,Medium,900,Which fruit is known for having its seeds on the outside?,Peach,Watermelon,Strawberry,Apple,Strawberry
624374,Fun & Casual,Guess the Answer,Medium,900,"In cartoons, which animal is famous for chasing Jerry the mouse?",Dog,Cat,Rabbit,Bird,Cat
624374,Fun & Casual,Guess the Answer,Medium,900,What is the main ingredient in traditional guacamole?,Onion,Avocado,Tomato,Lime,Avocado
624374,Fun & Casual,Guess the Answer,Medium,900,Which board game uses spaces such as Park Place and Boardwalk?,Scrabble,Clue,Monopoly,Sorry,Monopoly
624374,Fun & Casual,Guess the Answer,Medium,900,What animal appears on the logo for Lacoste?,Crocodile,Tiger,Elephant,Horse,Crocodile
624374,Fun & Casual,Guess the Answer,Medium,900,Which planet in our solar system is known as the Red Planet?,Earth,Mars,Venus,Jupiter,Mars
624374,Fun & Casual,Guess the Answer,Medium,900,The first name of the famous magician Mr. Copperfield is?,David,Harry,Chris,Doug,David
624374,Fun & Casual,Guess the Answer,Medium,900,"In video games, which speedy blue animal collects golden rings?",Crash,Mario,Sonic,Spyro,Sonic
624374,Fun & Casual,Guess the Answer,Medium,900,Which Disney princess has a raccoon friend named Meeko?,Aurora,Pocahontas,Ariel,Belle,Pocahontas
