QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
235908,Languages,Hindi,Easy,600,What is the Hindi word for 'Hello'?,Alvida,Dhanyavad,Namaste,Chalo,Namaste
235908,Languages,Hindi,Easy,600,Which of the following is a Hindi greeting for 'Good Morning'?,Shubh raat,Suprabhat,Namaste,Alvida,Suprabhat
235908,Languages,Hindi,Easy,600,What is 'Thank you' in Hindi?,Dhanyavad,Kripya,Chalo,Namaste,Dhanyavad
235908,Languages,Hindi,Easy,600,Which Hindi word means 'yes'?,Nahin,Haan,Chalo,Theek hai,Haan
235908,Languages,Hindi,Easy,600,What does 'Kripya' mean in English?,Thank you,Please,Yes,No,Please
235908,Languages,Hindi,Easy,600,How do you say 'Goodbye' in Hindi?,Alvida,Namaste,Dhanyavad,Shubh raat,Alvida
235908,Languages,Hindi,Easy,600,What is the Hindi translation for 'Water'?,Pani,Doodh,Chai,Khana,Pani
235908,Languages,Hindi,Easy,600,Which of the following means 'Food' in Hindi?,Khana,Pani,Doodh,Chai,Khana
235908,Languages,Hindi,Easy,600,What does 'Theek hai' mean in English?,No,Yes,Okay,Thank you,Okay
235908,Languages,Hindi,Easy,600,How do you say 'Mother' in Hindi?,Behen,Maata,Beeta,Bhai,Maata
