QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
726445,Academic & Education,Science,Hard,1200,What does the scientific name of the Cambrian-Period sea creature Anomalocaris mean?,Abnormal Shrimp,Deformed Fish,Strange Crab,Anomalous Clam,Abnormal Shrimp
726445,Academic & Education,Science,Hard,1200,Coulrophobia is the irrational fear of what?,Clowns,Cemeteries,Needles,Tunnels,Clowns
726445,Academic & Education,Science,Hard,1200,How many objects are equivalent to one mole?,6.022 x 10^23,6.002 x 10^22,6.022 x 10^22,6.002 x 10^23,6.022 x 10^23
726445,Academic & Education,Science,Hard,1200,What is the name for the auditory illusion of a note that seems to be rising infinitely?,Shepard Tone,Glissandro Illusion,Fransen Effect,McGurck Effect,Shepard Tone
726445,Academic & Education,Science,Hard,1200,"On the Beaufort Scale of wind force, what wind name is given to number 8?",Gale,Storm,Hurricane,Breeze,Gale
726445,Academic & Education,Science,Hard,1200,"In physics, conservation of energy and conservation of momentum are both consequences of which of the following?",Noether's Theorem,Bell's Theorem,Wick's Theorem,Carnot's Theorem,Noether's Theorem
726445,Academic & Education,Science,Hard,1200,How long is a light-year?,9.461 Trillion Kilometres,1 AU,105.40 Earth-years,501.2 Million Miles,9.461 Trillion Kilometres
726445,Academic & Education,Science,Hard,1200,What is the scientific name of the red fox?,Vulpes Vulpes,Vulpes Redus,Red Fox,Vulpes Vulpie,Vulpes Vulpes
726445,Academic & Education,Science,Hard,1200,How many types of quarks are there in the standard model of physics?,6,2,3,4,6
726445,Academic & Education,Science,Hard,1200,Which of the following is NOT a real element?,Vitrainium,Praseodymium,Hassium,Lutetium,Vitrainium
