QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
861745,"AI, Ethics & Future",Artificial Intelligence,Easy,600,What is the primary goal of Artificial Intelligence?,To automate household chores,To create intelligent machines that can think and act like humans,To develop video games,To explore space,OptionB
861745,"AI, Ethics & Future",Artificial Intelligence,Easy,600,What is the term for the moral principles that guide the development and use of AI?,Artificial Ethics,Machine Learning,Robotics,AI Ethics,OptionD
861745,"AI, Ethics & Future",Artificial Intelligence,Easy,600,Which of the following is a potential benefit of AI in healthcare?,Increased wait times for patients,Improved diagnosis and treatment of diseases,Reduced clinical staff,Higher medical costs,OptionB
861745,"AI, Ethics & Future",Artificial Intelligence,Easy,600,What is the term for the ability of AI systems to learn from data and improve their performance over time?,Deep Learning,Natural Language Processing,Machine Learning,Computer Vision,OptionC
861745,"AI, Ethics & Future",Artificial Intelligence,Easy,600,Which of the following is a concern related to the use of AI in employment?,Job creation,Increased productivity,Job displacement,Better work-life balance,OptionC
861745,"AI, Ethics & Future",Artificial Intelligence,Easy,600,What is the term for the AI system that can understand and interpret human emotions?,Affective Computing,Cognitive Computing,Natural Language Processing,Expert Systems,OptionA
861745,"AI, Ethics & Future",Artificial Intelligence,Easy,600,Which of the following is a potential application of AI in transportation?,Self-driving cars,Traffic management,Route optimization,All of the above,OptionD
861745,"AI, Ethics & Future",Artificial Intelligence,Easy,600,What is the term for the ability of AI systems to understand and generate human language?,Natural Language Generation,Natural Language Processing,Speech Recognition,Text Summarization,OptionB
861745,"AI, Ethics & Future",Artificial Intelligence,Easy,600,Which of the following is a benefit of using AI in education?,Personalized learning,Reducing teacher workload,Increased administrative tasks,Standardized testing,OptionA
861745,"AI, Ethics & Future",Artificial Intelligence,Easy,600,What is the term for the potential risks and negative consequences of developing and using AI?,AI Safety,AI Security,AI Ethics,AI Risks and Consequences,OptionD
