QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
146423,General Knowledge,Geography,Hard,1200,Into which basin does the Jordan River flow into?,Caspian Sea,Salton Sea,Dead Sea,Aral Sea,Dead Sea
146423,General Knowledge,Geography,Hard,1200,What is the name of one of the Neo-Aramaic languages spoken by the Jewish population from Northwestern Iraq?,Lishana Deni,Hulaulá,Lishan Didan,Chaldean Neo-Aramaic,Lishana Deni
146423,General Knowledge,Geography,Hard,1200,The Andaman and Nicobar Islands in South East Asia are controlled by which country?,Thailand,India,Indonesia,Vietnam,India
146423,General Knowledge,Geography,Hard,1200,The emblem on the flag of the Republic of Tajikistan features a sunrise over mountains below what symbol?,Sickle,Crown,Tree,Bird,Crown
146423,General Knowledge,Geography,Hard,1200,Which of these island countries is located in the Caribbean?,Fiji,Barbados,Seychelles,Maldives,Barbados
146423,General Knowledge,Geography,Hard,1200,"What is the capital of Wisconsin, USA?",Wisconsin Dells,Green Bay,Milwaukee,Madison,Madison
146423,General Knowledge,Geography,Hard,1200,What is the most populous Muslim-majority nation in 2010?,Indonesia,Sudan,Iran,Saudi Arabia,Indonesia
146423,General Knowledge,Geography,Hard,1200,What city is known as the Rose Capital of the World?,"Anaheim, California","Tyler, Texas","San Diego, California","Miami, Florida","Tyler, Texas"
146423,General Knowledge,Geography,Hard,1200,Which is the largest freshwater lake in the world?,Lake Superior ,Lake Huron,Caspian Sea,Lake Michigan,Lake Superior 
146423,General Knowledge,Geography,Hard,1200,What is the second-largest city in Lithuania?,Kaunas,Vilnius,Klaipėda,Panevėžys,Kaunas
