QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
704729,Academic & Education,Computer Science,Hard,1200,Who is the original author of the realtime physics engine called PhysX?,NovodeX,Ageia,Nvidia,AMD,NovodeX
704729,Academic & Education,Computer Science,Hard,1200,Which of these is not a key value of Agile software development?,Comprehensive documentation,Individuals and interactions,Customer collaboration,Responding to change,Comprehensive documentation
704729,Academic & Education,Computer Science,Hard,1200,"Released in 2001, the first edition of Apple's Mac OS X operating system (version 10.0) was given what animal code name?",Cheetah,Puma,Tiger,Leopard,Cheetah
704729,Academic & Education,Computer Science,Hard,1200,What internet protocol was documented in RFC 1459?,IRC,HTTP,HTTPS,FTP,IRC
704729,Academic & Education,Computer Science,Hard,1200,What is the name given to layer 4 of the Open Systems Interconnection (ISO) model?,Transport,Session,Data link,Network,Transport
704729,Academic & Education,Computer Science,Hard,1200,"According to DeMorgan's Theorem, the Boolean expression (AB)' is equivalent to:",A' + B',A'B + B'A,A'B',AB' + AB,A' + B'
704729,Academic & Education,Computer Science,Hard,1200,Which data structure does FILO apply to?,Stack,Queue,Heap,Tree,Stack
704729,Academic & Education,Computer Science,Hard,1200,"Australia, Japan, and Southeast Asia are in which ITU Region?",Region 3,Region 1,Region 2,Region 4,Region 3
704729,Academic & Education,Computer Science,Hard,1200,America Online (AOL) started out as which of these online service providers?,Quantum Link,CompuServe,Prodigy,GEnie,Quantum Link
704729,Academic & Education,Computer Science,Hard,1200,Which of the following computer components can be built using only NAND gates?,ALU,CPU,RAM,Register,ALU
