QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
794443,Technology & Computing,Operating Systems,Hard,1200,Which of the following memory allocation methods reduces external fragmentation?,Paging,Segmentation,Contiguous Allocation,Dynamic Partitioning,Paging
794443,Technology & Computing,Operating Systems,Hard,1200,"In a multi-threaded process, which component is shared among all threads?",Program Counter,Stack,Heap,Registers,Heap
794443,Technology & Computing,Operating Systems,Hard,1200,The banker’s algorithm is used to solve problems related to:,Deadlock Preemption,Deadlock Avoidance,Deadlock Detection,Starvation Prevention,Deadlock Avoidance
794443,Technology & Computing,Operating Systems,Hard,1200,What is the primary purpose of the Translation Lookaside Buffer (TLB)?,Improve CPU scheduling,Accelerate virtual address translation,Manage I/O operations,Perform context switching,Accelerate virtual address translation
794443,Technology & Computing,Operating Systems,Hard,1200,Which mechanism is specifically designed to ensure mutual exclusion in concurrent programming?,Spinlock,Paging,Context Switching,Thrashing,Spinlock
794443,Technology & Computing,Operating Systems,Hard,1200,What is thrashing in operating systems?,Excessive paging that degrades performance,A failure to acquire a resource due to deadlock,A process holding too many resources,Optimized file handling for I/O,Excessive paging that degrades performance
794443,Technology & Computing,Operating Systems,Hard,1200,What happens during process starvation?,A process is indefinitely postponed from acquiring resources.,A process is terminated due to insufficient memory.,A process is locked in deadlock with another process.,A process executes at a very high priority level.,A process is indefinitely postponed from acquiring resources.
794443,Technology & Computing,Operating Systems,Hard,1200,Which scheduling algorithm is non-preemptive and executes processes based on their arrival time?,Shortest Job Next (SJN),Round Robin (RR),First Come First Serve (FCFS),Priority Scheduling,First Come First Serve (FCFS)
794443,Technology & Computing,Operating Systems,Hard,1200,How does an operating system implement virtual memory?,By using context switching,By mapping virtual addresses to physical memory,By allocating dedicated memory segments to processes,By using inter-process communication,By mapping virtual addresses to physical memory
794443,Technology & Computing,Operating Systems,Hard,1200,What is the primary role of the ‘inode’ in a file system?,To store metadata about a file,To manage swap space,To map processes to instructions,To monitor CPU utilization,To store metadata about a file
