QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
824461,Business & Finance,Marketing,Easy,600,What is the primary goal of marketing?,Maximizing profits,Satisfying customer needs,Reducing costs,Increasing production,B
824461,Business & Finance,Marketing,Easy,600,Which of the following is not one of the 4Ps of marketing?,Product,Price,Place,Publicity,D
824461,Business & Finance,Marketing,Easy,600,What does 'Place' refer to in the 4Ps of marketing?,The product features,The pricing strategy,The promotional methods,The distribution channels,D
824461,Business & Finance,Marketing,Easy,600,What is branding in marketing?,Creating a unique name and image for a product,Setting low prices to attract customers,Advertising only on TV,Selling products directly to consumers,A
824461,Business & Finance,Marketing,Easy,600,Which marketing strategy involves dividing the market into segments?,Targeting,Positioning,Segmentation,Differentiation,C
824461,Business & Finance,Marketing,Easy,600,Which of the following is a key benefit of good marketing?,Increased costs,Lower sales,Poor customer relations,Higher revenue,D
824461,Business & Finance,Marketing,Easy,600,What is an example of a promotional tool in marketing?,Social media ads,Market research,Pricing strategy,Distribution channels,A
824461,Business & Finance,Marketing,Easy,600,Which pricing strategy involves setting a low initial price to gain market share quickly?,Skimming pricing,Penetration pricing,Cost-plus pricing,Dynamic pricing,B
824461,Business & Finance,Marketing,Easy,600,What is the role of promotion in the marketing mix?,"To inform, persuade, and remind customers",To set the product price,To distribute the product,To design the product features,A
824461,Business & Finance,Marketing,Easy,600,Why is understanding customer needs important in marketing?,To increase production costs,To build better products and services,To reduce advertising efforts,To focus only on competitors,B
