QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
522292,General Knowledge,History,Hard,1200,"When was the city of Rome, Italy founded?",753 BCE,902 BCE,524 BCE,697 BCE,753 BCE
522292,General Knowledge,History,Hard,1200,What was the original name of New York City?,New Amsterdam,New London,New Paris,New Rome,New Amsterdam
522292,General Knowledge,History,Hard,1200,What Southeast Asian country was formerly known as 'Lan Xang'?,Laos,Cambodia,Vietnam,Thailand,Laos
522292,General Knowledge,History,Hard,1200,Who was the first man to travel into outer space twice?,Gus Grissom,Vladimir Komarov,Charles Conrad,Yuri Gagarin,Gus Grissom
522292,General Knowledge,History,Hard,1200,"The main objective of the German operation ""Case Blue"" during World War II was originally to capture what?",Caucasus,Stalingrad,Crimea,Voronezh,Caucasus
522292,General Knowledge,History,Hard,1200,How many sonatas did Ludwig van Beethoven write?,32,50,31,21,32
522292,General Knowledge,History,Hard,1200,Which countries participated in the Lobster War?,France and Brazil,Canada and Norway,Australia and New Zealand,United States and England,France and Brazil
522292,General Knowledge,History,Hard,1200,What was Napoleon Bonaparte's name before he changed it?,Napoleone di Buonaparte,Naapolion van Bonijpaart,Napoleão do Boaparte,Napoleona de Buenoparte,Napoleone di Buonaparte
522292,General Knowledge,History,Hard,1200,Which of the following physicists did NOT work on the Manhattan project?,Murray Gell-Mann,Richard Feynman,J. Robert Oppenheimer,John Von-Neumann,Murray Gell-Mann
522292,General Knowledge,History,Hard,1200,Which U.S. president was said to have been too honest to lie to his father about chopping down a cherry tree?,George Washington,Abraham Lincoln,Thomas Jefferson,James Monroe,George Washington
