QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
899597,Languages,Vocabulary,Easy,600,What is the meaning of the word 'bilingual'?,Speaking one language,Speaking two languages,Speaking three languages,Speaking no languages,Speaking two languages
899597,Languages,Vocabulary,Easy,600,What does the English word 'synonym' refer to?,A word with the same meaning as another,A word opposite in meaning,A word that rhymes,A word that starts with the same letter,A word with the same meaning as another
899597,Languages,Vocabulary,Easy,600,Which word means a person who translates spoken language?,Interpreter,Editor,Author,Listener,Interpreter
899597,Languages,Vocabulary,Easy,600,What does 'dialect' refer to?,A type of food,A regional variety of a language,A musical instrument,A clothing style,A regional variety of a language
899597,Languages,Vocabulary,Easy,600,Which of these is a basic unit of language?,Chapter,Paragraph,Sentence,Word,Word
899597,Languages,Vocabulary,Easy,600,What is a 'dictionary' used for?,Finding the meaning of words,Watching movies,Playing games,Learning how to cook,Finding the meaning of words
899597,Languages,Vocabulary,Easy,600,Which word means the opposite of 'antonym'?,Opposite,Contronym,Synonym,Homonym,Synonym
899597,Languages,Vocabulary,Easy,600,What is the word 'grammar' related to?,Language rules,Math problems,Physical exercise,Cooking recipes,Language rules
899597,Languages,Vocabulary,Easy,600,Which word means a collection of letters?,Sentence,Alphabet,Paragraph,Novel,Alphabet
899597,Languages,Vocabulary,Easy,600,What does the word 'translate' mean?,To dance,To run,To change languages,To cook food,To change languages
