QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
557977,Arts & Humanities,Fine Arts,Hard,1200,Albrecht Dürer's birthplace and place of death were in...,Bamberg,Berlin,Augsburg,Nürnberg,Nürnberg
557977,Arts & Humanities,Fine Arts,Hard,1200,"The painting ""The Starry Night"" by Vincent van Gogh was part of which art movement?",Impressionism,Neoclassical,Post-Impressionism,Romanticism,Post-Impressionism
557977,Arts & Humanities,Fine Arts,Hard,1200,Which of these is not an additional variation of the color purple?,Byzantium,Kobicha,Palatinate,Pomp and Power,Kobicha
557977,Arts & Humanities,Fine Arts,Hard,1200,What was the major distinction between the English and French Gothic styles of architecture?,Pinnacles,Fan vaulting,Gargoyles,Hemispherical Domes,Fan vaulting
557977,Arts & Humanities,Fine Arts,Hard,1200,What year was the Mona Lisa finished?,1504,1511,1487,1523,1504
557977,Arts & Humanities,Fine Arts,Hard,1200,Painter Piet Mondrian (1872 - 1944) was a part of what movement?,Impressionism,Neoplasticism,Precisionism,Cubism,Neoplasticism
557977,Arts & Humanities,Fine Arts,Hard,1200,What French sculptor designed the Statue of Liberty? ,Frédéric Auguste Bartholdi,Jean-Léon Gérôme,Henri Matisse,Auguste Rodin,Frédéric Auguste Bartholdi
557977,Arts & Humanities,Fine Arts,Hard,1200,"What year did Albrecht Dürer create the painting ""The Young Hare""?",1702,1402,1502,1602,1502
557977,Arts & Humanities,Fine Arts,Hard,1200,"How many paint and pastel versions of ""The Scream"" is Norwegian painter Edvard Munch believed to have produced?",4,2,3,1,4
557977,Arts & Humanities,Fine Arts,Hard,1200,What was the first successful and commercially viable photographic technique?,Kodachrome film,The Turin Shroud,Collodion process,The Daguerreotype,The Daguerreotype
