QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
891965,Lifestyle & Society,Fashion,Easy,600,Which of the following is a popular style of shoe?,Sandal,Lace,Buckle,Sneaker,Sneaker
891965,Lifestyle & Society,Fashion,Easy,600,What is the term for a garment that is worn around the neck?,Scarf,Glove,Hat,Belt,Scarf
891965,Lifestyle & Society,Fashion,Easy,600,Which fabric is known for being soft and breathable?,Polyester,Cotton,Nylon,Rayon,Cotton
891965,Lifestyle & Society,Fashion,Easy,600,What is the name of the accessory worn around the wrist to tell time?,Necklace,Bracelet,Watch,Ring,Watch
891965,Lifestyle & Society,Fashion,Easy,600,"Which style of clothing is characterized by a loose, casual fit?",Tuxedo,Gown,Jumpsuit,Sweatshirt,Sweatshirt
891965,Lifestyle & Society,Fashion,Easy,600,What is a type of hat that covers the top of the head?,Visor,Beanie,Turban,Fedora,Beanie
891965,Lifestyle & Society,Fashion,Easy,600,Which of the following is a type of fabric texture?,Denim,Smooth,Striped,Polka-dotted,Smooth
891965,Lifestyle & Society,Fashion,Easy,600,What is the term for a fashion style that is currently popular?,Vintage,Classic,Trendy,Timeless,Trendy
891965,Lifestyle & Society,Fashion,Easy,600,Which accessory is often worn on the ear?,Ring,Necklace,Earring,Bracelet,Earring
891965,Lifestyle & Society,Fashion,Easy,600,What is a type of shoe that is typically worn with formal attire?,Sneakers,Boots,Loafers,High heels,High heels
