QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
222015,Academic & Education,Social Sciences,Medium,900,"What concept describes the hierarchical arrangement of social groups based on factors like wealth, power, and prestige?",Social mobility,Social stratification,Cultural assimilation,Groupthink,Social stratification
222015,Academic & Education,Social Sciences,Medium,900,"Which political ideology typically advocates for minimal government intervention in both the economy and social life, emphasizing individual liberty?",Socialism,Conservatism,Liberalism,Libertarianism,Libertarianism
222015,Academic & Education,Social Sciences,Medium,900,"In a perfectly competitive market, which of the following is NOT typically true?",Many buyers and sellers exist.,Products are differentiated.,Firms are price takers.,There is free entry and exit.,Products are differentiated.
222015,Academic & Education,Social Sciences,Medium,900,What is the primary research method employed by cultural anthropologists to deeply understand a society or group by living among them for an extended period?,Survey research,Statistical analysis,Ethnography,Archival research,Ethnography
222015,Academic & Education,Social Sciences,Medium,900,"The tendency for people to search for, interpret, favor, and recall information in a way that confirms one's pre-existing beliefs or hypotheses is known as:",Dunning-Kruger effect,Cognitive dissonance,Confirmation bias,Fundamental attribution error,Confirmation bias
222015,Academic & Education,Social Sciences,Medium,900,"Which sociological perspective views society as a complex system whose parts work together to promote solidarity and stability, often focusing on social institutions and their functions?",Conflict Theory,Symbolic Interactionism,Functionalism,Feminism,Functionalism
222015,Academic & Education,Social Sciences,Medium,900,The process by which an increasing proportion of a population lives in urban areas and those areas grow in size and number is called:,Suburbanization,Gentrification,Urbanization,Rural-urban migration,Urbanization
222015,Academic & Education,Social Sciences,Medium,900,Historiography refers to:,The study of historical events in chronological order.,The writing of history and the study of historical methodology.,The preservation of historical artifacts.,The analysis of primary sources only.,The writing of history and the study of historical methodology.
222015,Academic & Education,Social Sciences,Medium,900,Gross Domestic Product (GDP) primarily measures:,The total income of a nation's households.,The total value of goods and services produced within a country's borders in a specific time period.,The total amount of money circulating in an economy.,The sum of all government spending.,The total value of goods and services produced within a country's borders in a specific time period.
222015,Academic & Education,Social Sciences,Medium,900,"In international relations, the concept of ""soft power"" primarily refers to:",A nation's military strength and capabilities.,The ability to influence others through co-option and attraction rather than coercion.,Economic sanctions and trade agreements.,The formal treaties signed between nations.,The ability to influence others through co-option and attraction rather than coercion.
