QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
404583,Lifestyle & Society,Travel & Tourism,Medium,900,What is the name of the famous hotel in Las Vegas known for its replica of the Eiffel Tower?,The Bellagio,The Venetian,The Paris Las Vegas,Caesars Palace,The Paris Las Vegas
404583,Lifestyle & Society,Travel & Tourism,Medium,900,Which city is known as the 'City of Canals'?,Amsterdam,Stockholm,Venice,Copenhagen,Venice
404583,Lifestyle & Society,Travel & Tourism,Medium,900,"What is the world's largest waterfall, by width?",Victoria Falls,Iguazu Falls,Niagara Falls,Angel Falls,Iguazu Falls
404583,Lifestyle & Society,Travel & Tourism,Medium,900,In which country is the ancient city of Petra located?,Egypt,Turkey,Jordan,Greece,Jordan
404583,Lifestyle & Society,Travel & Tourism,Medium,900,"Which famous beach is located on the island of Oahu, Hawaii?",Waikiki Beach,Kaanapali Beach,Hanauma Bay,Lanikai Beach,Waikiki Beach
404583,Lifestyle & Society,Travel & Tourism,Medium,900,What is the name of the largest island in the Mediterranean Sea?,Sicily,Sardinia,Crete,Cyprus,Sicily
404583,Lifestyle & Society,Travel & Tourism,Medium,900,Which river is the longest in South America?,Amazon River,Parana River,Sao Francisco River,Magdalena River,Amazon River
404583,Lifestyle & Society,Travel & Tourism,Medium,900,In which city is the famous Red Square located?,St. Petersburg,Moscow,Kiev,Sochi,Moscow
404583,Lifestyle & Society,Travel & Tourism,Medium,900,What is the name of the famous prehistoric monument in England?,Stonehenge,Avebury,Salisbury Cathedral,Bath Abbey,Stonehenge
404583,Lifestyle & Society,Travel & Tourism,Medium,900,Which mountain range runs along the border between France and Spain?,The Alps,The Pyrenees,The Carpathian Mountains,The Apennine Mountains,The Pyrenees
