QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
417131,Sports & Games,Sports Rules & History,Hard,1200,"From 1940 to 1942, what was the capital-in-exile of Free France ?",Paris,Algiers,Tunis,Brazzaville,Brazzaville
417131,Sports & Games,Sports Rules & History,Hard,1200,"In addition to his career as an astrologer and ""prophet"", Nostradamus published a 1555 treatise that included a section on what?",Making jams and jellies,Teaching parrots to talk,Cheating at card games,Digging graves,Making jams and jellies
417131,Sports & Games,Sports Rules & History,Hard,1200,What age was King Henry V when he died?,35,87,73,62,35
417131,Sports & Games,Sports Rules & History,Hard,1200,The son of which pope supposedly held a lecherous fête involving 50 courtesans in the papal palace?,Alexander VI,Innocent V,Pius III,Urban II,Alexander VI
417131,Sports & Games,Sports Rules & History,Hard,1200,List the following Iranic empires in chronological order:,"Median, Achaemenid, Sassanid, Parthian","Achaemenid, Median, Parthian, Sassanid","Median, Achaemenid, Parthian, Sassanid","Achaemenid, Median, Sassanid, Parthian","Median, Achaemenid, Parthian, Sassanid"
417131,Sports & Games,Sports Rules & History,Hard,1200,What micro-state is considered to have the oldest constitution still in effect?,Andorra,Saint Kitts and Nevis,San Marino,Monaco,San Marino
417131,Sports & Games,Sports Rules & History,Hard,1200,What year was Canada founded in?,1859,1668,1798,1867,1867
417131,Sports & Games,Sports Rules & History,Hard,1200,What was the last colony the UK ceded marking the end of the British Empire?,Australia,India,Hong Kong,Ireland,Hong Kong
417131,Sports & Games,Sports Rules & History,Hard,1200,Which day did World War I begin?,July 28,April 28,June 28,January 28,July 28
417131,Sports & Games,Sports Rules & History,Hard,1200,Toussaint Louverture led a successful slave revolt in which country?,United States,France,Cuba,Haiti,Haiti
