QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
951107,Languages,Vocabulary,Hard,1200,What does the word 'Perspicacious' mean?,Foolish,Inflexible,Able to notice and understand things that are not immediately apparent,Dishonest,Able to notice and understand things that are not immediately apparent
951107,Languages,Vocabulary,Hard,1200,What is the meaning of the word 'Heterogeneous'?,Consisting of parts or elements that are all the same,Diverse in character or content,Uniform in texture or composition,Consisting of only one part or element,Diverse in character or content
951107,Languages,Vocabulary,Hard,1200,What does the word 'Inscrutable' mean?,Easy to understand,Difficult to understand or interpret,Quick to anger,Constantly changing,Difficult to understand or interpret
951107,Languages,Vocabulary,Hard,1200,What is the meaning of the word 'Ennui'?,A feeling of intense excitement or enthusiasm,A feeling of listlessness and boredom,A feeling of great happiness or joy,A feeling of extreme anger or frustration,A feeling of listlessness and boredom
951107,Languages,Vocabulary,Hard,1200,What does the word 'Fastidious' mean?,Careless and sloppy,Meticulous and demanding in one's standards,Quick and efficient,Slow and methodical,Meticulous and demanding in one's standards
951107,Languages,Vocabulary,Hard,1200,What is the meaning of the word 'Hypocrisy'?,The practice of professing standards or beliefs that one does not actually hold,The act of being kind and generous to everyone,The state of being completely honest and transparent,The quality of being completely consistent in one's actions and words,The practice of professing standards or beliefs that one does not actually hold
951107,Languages,Vocabulary,Hard,1200,What does the word 'Insouciant' mean?,Carefree and nonchalant,Fussy and high-strung,Quick to anger,Extremely serious and solemn,Carefree and nonchalant
951107,Languages,Vocabulary,Hard,1200,What is the meaning of the word 'Mercurial'?,Constantly changing or unpredictable,Steady and reliable,Quick to anger,Extremely patient and understanding,Constantly changing or unpredictable
951107,Languages,Vocabulary,Hard,1200,What does the word 'Nebulous' mean?,Unclear or vague in meaning or form,Clear and well-defined,Quick and efficient,Slow and methodical,Unclear or vague in meaning or form
951107,Languages,Vocabulary,Hard,1200,What is the meaning of the word 'Obfuscate'?,To make something clear or easier to understand,To deliberately make something unclear or difficult to understand,To completely ignore or avoid something,To actively seek out and engage with something,To deliberately make something unclear or difficult to understand
