QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
247057,Fun & Casual,Personality Quizzes,Medium,900,Which animal are you most likely to identify with if you value loyalty and companionship?,Wolf,Peacock,Cat,Eagle,Wolf
247057,Fun & Casual,Personality Quizzes,Medium,900,"If you prefer spontaneous adventures, which personality trait do you likely have?",Introversion,Openness,Conscientiousness,Agreeableness,Openness
247057,Fun & Casual,Personality Quizzes,Medium,900,Which color might suit someone who enjoys being the center of attention?,Green,Blue,Yellow,Red,Red
247057,Fun & Casual,Personality Quizzes,Medium,900,What is a preferred hobby for a detail-oriented personality?,Painting,Gardening,Solving puzzles,Playing sports,Solving puzzles
247057,Fun & Casual,Personality Quizzes,Medium,900,"If friends love your reliability, what word describes you?",Impulsive,Reliable,Shy,Dramatic,Reliable
247057,Fun & Casual,Personality Quizzes,Medium,900,Which kind of movie would a sentimental personality most enjoy?,Comedy,Romance,Action,Horror,Romance
247057,Fun & Casual,Personality Quizzes,Medium,900,"If you’re a fan of organizing and planning events, which of these describes you best?",Creative,Adventurous,Meticulous,Laid-back,Meticulous
247057,Fun & Casual,Personality Quizzes,Medium,900,Which vacation would suit someone who enjoys quiet reflection?,A mountain retreat,A city tour,A cruise,Theme park adventure,A mountain retreat
247057,Fun & Casual,Personality Quizzes,Medium,900,Which music genre matches a bold and energetic personality?,Jazz,Pop,Rock,Classical,Rock
247057,Fun & Casual,Personality Quizzes,Medium,900,"If you’re described as a dreamer, which activity do you probably enjoy?",Meditation,Writing stories,Playing chess,Cooking,Writing stories
