QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
220345,Gaming,Mobile Games,Medium,900,Who published the 1998 video game Half-Life?,Sierra On-Line,EA,Valve,Blizzard,Sierra On-Line
220345,Gaming,Mobile Games,Medium,900,In which game did the Konami Code make its first appearance?,Dance Dance Revolution,Castlevania,Gradius,Contra,Gradius
220345,Gaming,Mobile Games,Medium,900,"Which puzzle game was designed by a Russian programmer, featuring Russian buildings and music?",Tetris,Jenga,Puzzled,Boulder Dash,Tetris
220345,Gaming,Mobile Games,Medium,900,"Which German city does the map ""Clubhouse"" in ""Tom Clancy's Rainbow Six Siege"" take place in?",Hannover,Munich,Berlin,Hamburg,Hannover
220345,Gaming,Mobile Games,Medium,900,"In Minecraft: Java Edition, which of the following feature/block was added to Survival mode in Beta 1.3?",Hunger,Beds,The Nether,Grass,Beds
220345,Gaming,Mobile Games,Medium,900,What is not a default game mode in Counter-Strike (2000)?,Arms Race,Hostage Rescue,Assassination,Bomb Defusal,Arms Race
220345,Gaming,Mobile Games,Medium,900,Which of these video game series have NOT had a promotional item appear in Team Fortress 2?,Fallout,Half-Life,The Binding of Isaac,Quake,Half-Life
220345,Gaming,Mobile Games,Medium,900,"What's the famous line Vaas says in ""Far Cry 3""?",Have I failed to entertain you?,You're my b*tch!,Maybe your best course...would be to tread lightly.,Did I ever tell you the definition of Insanity?,Did I ever tell you the definition of Insanity?
220345,Gaming,Mobile Games,Medium,900,On which planet does the game Freedom Planet (2014) take place?,Avalice,Galaxytrail,Freedom,Shang Mu,Avalice
220345,Gaming,Mobile Games,Medium,900,"In ""Call Of Duty: Zombies"", completing which map's main easter egg will reward you with the achievement, ""High Maintenance""?",Mob Of The Dead,Ascension,Origins,Die Rise,Die Rise
