QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
270267,Science & Innovation,Future Technologies,Easy,600,What is the primary purpose of Artificial Intelligence?,To create robots that can think like humans,To automate tasks and improve efficiency,To develop new forms of entertainment,To enhance human physical abilities,OptionB
270267,Science & Innovation,Future Technologies,Easy,600,Which technology is used to make transactions more secure?,Blockchain,Cloud Computing,Internet of Things,Artificial Intelligence,OptionA
270267,Science & Innovation,Future Technologies,Easy,600,What is the term for the interconnection of physical devices through the internet?,Internet of Things,Cloud Computing,Artificial Intelligence,Virtual Reality,OptionA
270267,Science & Innovation,Future Technologies,Easy,600,Which of the following is a potential application of 3D printing?,Creating prosthetic limbs,Generating electricity,Purifying water,Cooking food,OptionA
270267,Science & Innovation,Future Technologies,Easy,600,What is the purpose of a Virtual Assistant like Siri or Alexa?,To control smart home devices,To provide entertainment,To assist with daily tasks and answer queries,To monitor health and fitness,OptionC
270267,Science & Innovation,Future Technologies,Easy,600,Which technology allows for the creation of immersive experiences?,Virtual Reality,Artificial Intelligence,Internet of Things,Blockchain,OptionA
270267,Science & Innovation,Future Technologies,Easy,600,What is the primary benefit of using Cloud Computing?,Increased storage capacity,Improved data security,Enhanced collaboration and scalability,Reduced internet speed,OptionC
270267,Science & Innovation,Future Technologies,Easy,600,Which of the following is a type of Future Technology that involves the use of robots?,Robotics,Biotechnology,Nanotechnology,All of the above,OptionD
270267,Science & Innovation,Future Technologies,Easy,600,What is the main goal of Quantum Computing?,To develop faster processors,To improve data storage,To solve complex problems that are beyond the capabilities of classical computers,To reduce energy consumption,OptionC
270267,Science & Innovation,Future Technologies,Easy,600,Which technology is being used to develop self-driving cars?,Artificial Intelligence,Internet of Things,Blockchain,Virtual Reality,OptionA
