QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
129187,Technology & Computing,Artificial Intelligence & Machine Learning,Easy,600,What does AI stand for in technology?,Artificial Intelligence,Automatic Interaction,Advanced Innovation,Algorithmic Integration,Artificial Intelligence
129187,Technology & Computing,Artificial Intelligence & Machine Learning,Easy,600,Which term is used for a computer's ability to learn and improve from experience?,Machine Learning,Deep Thinking,Programmed Learning,Data Mining,Machine Learning
129187,Technology & Computing,Artificial Intelligence & Machine Learning,Easy,600,What is an algorithm?,A robot's neural structure,A step-by-step procedure for solving a problem,A software company specializing in AI,A type of programming language,A step-by-step procedure for solving a problem
129187,Technology & Computing,Artificial Intelligence & Machine Learning,Easy,600,Which of the following is an example of AI application?,Image recognition,Word processors,Calculators,Web browsers,Image recognition
129187,Technology & Computing,Artificial Intelligence & Machine Learning,Easy,600,What is the primary goal of AI?,To replace human thinking entirely,To simulate human intelligence,To teach machines to speak different languages,To create software for gaming only,To simulate human intelligence
129187,Technology & Computing,Artificial Intelligence & Machine Learning,Easy,600,Which programming language is commonly used in Machine Learning?,JavaScript,Python,C++,HTML,Python
129187,Technology & Computing,Artificial Intelligence & Machine Learning,Easy,600,What does 'Deep Learning' refer to?,A type of learning focused on human emotions,A subset of Machine Learning that uses neural networks,A database management system,Learning how to code from scratch,A subset of Machine Learning that uses neural networks
129187,Technology & Computing,Artificial Intelligence & Machine Learning,Easy,600,Which of the following is NOT a type of Machine Learning?,Reinforcement Learning,Supervised Learning,Unsupervised Learning,Dynamic Learning,Dynamic Learning
129187,Technology & Computing,Artificial Intelligence & Machine Learning,Easy,600,What is a neural network commonly used for?,Solving mathematical equations,Recognizing patterns and data,Testing physical hardware,Running software diagnostics,Recognizing patterns and data
129187,Technology & Computing,Artificial Intelligence & Machine Learning,Easy,600,Which company developed the AI assistant named 'Alexa'?,Google,Amazon,Microsoft,Apple,Amazon
