QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
347698,"AI, Ethics & Future",Tech & Society,Medium,900,Which of the following is a potential ethical concern associated with facial recognition technology powered by AI?,Improved photo quality,Surveillance and privacy invasion,Faster internet speeds,Online shopping recommendations,Surveillance and privacy invasion
347698,"AI, Ethics & Future",Tech & Society,Medium,900,What is 'algorithmic bias' in the context of artificial intelligence?,A preference for faster algorithms,Using outdated technology,Systematic errors favoring certain outcomes or groups,None of the above,Systematic errors favoring certain outcomes or groups
347698,"AI, Ethics & Future",Tech & Society,Medium,900,Which concept means an AI system should clearly disclose how it reaches decisions?,Transparency,Encryption,Efficiency,Performance,Transparency
347698,"AI, Ethics & Future",Tech & Society,Medium,900,Deepfake technology raises ethical questions primarily because it can:,Create realistic fake videos for malicious purposes,Increase internet bandwidth usage,Improve video editing efficiency,Enhance special effects in movies,Create realistic fake videos for malicious purposes
347698,"AI, Ethics & Future",Tech & Society,Medium,900,Which of these is a commonly suggested way to mitigate bias in AI systems?,Limiting data sources,Increasing dataset diversity,Reducing model complexity,Speeding up algorithm processing,Increasing dataset diversity
347698,"AI, Ethics & Future",Tech & Society,Medium,900,A 'black box' AI model is criticized because it:,Uses too much electricity,Is expensive to build,Lacks interpretability or transparency,Is slow at processing data,Lacks interpretability or transparency
347698,"AI, Ethics & Future",Tech & Society,Medium,900,What is the main concern about ‘autonomous AI weapons’?,They will improve national defense,Their actions may be hard to control and ethically questionable,They cannot be programmed,They are always 100% accurate,Their actions may be hard to control and ethically questionable
347698,"AI, Ethics & Future",Tech & Society,Medium,900,Who is typically responsible for the ethical use of AI within an organization?,Only the customers,Engineers and developers only,Governments only,"Everyone involved, including leadership, developers, and users","Everyone involved, including leadership, developers, and users"
347698,"AI, Ethics & Future",Tech & Society,Medium,900,What is one risk associated with deploying AI in criminal justice systems?,Fairer trial outcomes,Potential reinforcement of existing biases,Faster internet speeds,Reduced paperwork,Potential reinforcement of existing biases
347698,"AI, Ethics & Future",Tech & Society,Medium,900,What does 'AI alignment' refer to?,Developing AI that matches human values and intentions,Improving computer screen resolution,Increasing battery life,Speeding up software updates,Developing AI that matches human values and intentions
