QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
692601,Coding & Interview Prep,System Design,Medium,900,Which of the following is the primary purpose of database sharding?,To improve software scalability and distribution,To normalize data,To secure database access,To prevent SQL injection,To improve software scalability and distribution
692601,Coding & Interview Prep,System Design,Medium,900,A load balancer helps a system by:,Encrypting network traffic,Distributing incoming requests across multiple servers,Reducing latency between microservices,Providing user authentication,Distributing incoming requests across multiple servers
692601,Coding & Interview Prep,System Design,Medium,900,What is the CAP theorem in distributed systems?,"Consistency, Availability, Partition Tolerance","Concurrency, Availability, Performance","Capacitor, Availability, Partition Tolerance","Consistency, Accuracy, Performance","Consistency, Availability, Partition Tolerance"
692601,Coding & Interview Prep,System Design,Medium,900,Which type of caching stores precomputed results to reduce database queries?,Write-through cache,Read-through cache,Application-level cache,Content Delivery Network cache,Application-level cache
692601,Coding & Interview Prep,System Design,Medium,900,"In system design, what is 'horizontal scaling'?",Upgrading system hardware,Adding more machines to the pool,Optimizing code for performance,Deploying software updates regularly,Adding more machines to the pool
692601,Coding & Interview Prep,System Design,Medium,900,Which consistency model allows clients to read stale data after a write?,Strong consistency,Eventual consistency,Linearizability,Strict consistency,Eventual consistency
692601,Coding & Interview Prep,System Design,Medium,900,"When designing a URL shortening service, which is most important?",Implementing user authentication,Ensuring hash collisions are unlikely,Displaying analytics in real-time,Supporting video uploads,Ensuring hash collisions are unlikely
692601,Coding & Interview Prep,System Design,Medium,900,Which protocol is commonly used for streaming videos efficiently?,HTTP/2,SMTP,RTMP,FTP,RTMP
692601,Coding & Interview Prep,System Design,Medium,900,A message queue helps in system design by:,Increasing database storage capacity,Enabling asynchronous communication between services,Preventing network packet loss,Improving database consistency,Enabling asynchronous communication between services
692601,Coding & Interview Prep,System Design,Medium,900,What is the usual benefit of using a CDN in web applications?,Enhancing server-side processing,Reducing data transfer between microservices,Decreasing user-perceived latency by geographically distributing content,Improving client-side scripting,Decreasing user-perceived latency by geographically distributing content
