QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
855726,Gaming,Esports Tournaments,Medium,900,Which of the following Esports tournaments is considered one of the most prestigious in the Dota 2 scene?,League of Legends Championship Series,The International,EVO Championship Series,Overwatch World Cup,The International
855726,Gaming,Esports Tournaments,Medium,900,What is the name of the largest annual Esports tournament for Fortnite?,Fortnite World Cup,Epic Games Championship,The Fortnite Showdown,FNCS,Fortnite World Cup
855726,Gaming,Esports Tournaments,Medium,900,In which year was the first Overwatch World Cup held?,2016,2017,2018,2019,2018
855726,Gaming,Esports Tournaments,Medium,900,Which Esports tournament is known for having one of the largest prize pools?,League of Legends World Championship,The International,Fortnite World Cup,CS:GO Major Championships,The International
855726,Gaming,Esports Tournaments,Medium,900,Which of the following is NOT a major Esports tournament for League of Legends?,League of Legends World Championship,League of Legends Championship Series,Mid-Season Invitational,The International,The International
855726,Gaming,Esports Tournaments,Medium,900,What is the name of the governing body for Esports in South Korea?,Korean e-Sports Association (KeSPA),Esports Federation (ESF),International Esports Federation (IESF),World Cyber Games (WCG),Korean e-Sports Association (KeSPA)
855726,Gaming,Esports Tournaments,Medium,900,"Which Esports tournament is held annually in Berlin, Germany?",League of Legends World Championship,The International,Berlin eSports Grand Prix,DreamHack,DreamHack
855726,Gaming,Esports Tournaments,Medium,900,Which of the following games is typically associated with the EVO Championship Series?,Street Fighter V,League of Legends,Dota 2,Overwatch,Street Fighter V
855726,Gaming,Esports Tournaments,Medium,900,"What is the format of the group stage in most major Dota 2 tournaments, such as The International?",Single-elimination bracket,Round-robin group stage,Double-elimination bracket,Swiss stage,Swiss stage
855726,Gaming,Esports Tournaments,Medium,900,Which Esports organization has won the most League of Legends World Championships?,SK Telecom T1,G2 Esports,Fnatic,Samsung Galaxy,SK Telecom T1
