QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
475858,Entertainment & Pop Culture,Television,Hard,1200,Which American sitcom is set in the fictional town of Stars Hollow?,The Big Bang Theory,Gilmore Girls,How I Met Your Mother,Friends,Gilmore Girls
475858,Entertainment & Pop Culture,Television,Hard,1200,Who played the character of Phil Dunphy in the TV series Modern Family?,Ed O'Neill,Ty Burrell,Eric Stonestreet,Jesse Tyler Ferguson,Ty Burrell
475858,Entertainment & Pop Culture,Television,Hard,1200,"In the TV show Breaking Bad, what is the name of Walter White's partner?",Hank Schrader,Jesse Pinkman,Skyler White,Saul Goodman,Jesse Pinkman
475858,Entertainment & Pop Culture,Television,Hard,1200,"What is the name of the famous sitcom that aired from 1994 to 2004 and starred Jennifer Aniston, Courteney Cox, and Lisa Kudrow?",The Big Bang Theory,How I Met Your Mother,Friends,Seinfeld,Friends
475858,Entertainment & Pop Culture,Television,Hard,1200,Who played the role of Leslie Knope in the TV series Parks and Recreation?,Amy Poehler,Rashida Jones,Aziz Ansari,Nick Offerman,Amy Poehler
475858,Entertainment & Pop Culture,Television,Hard,1200,What is the name of the British sci-fi television program that premiered in 2005 and stars David Tennant as the Tenth Doctor?,Torchwood,Doctor Who,The Sarah Jane Adventures,Primeval,Doctor Who
475858,Entertainment & Pop Culture,Television,Hard,1200,"In the TV show The Office, what is the name of the regional manager of the Dunder Mifflin paper company?",Jim Halpert,Pam Beesly,Andy Bernard,Michael Scott,Michael Scott
475858,Entertainment & Pop Culture,Television,Hard,1200,Who played the character of Barney Stinson in the TV series How I Met Your Mother?,Neil Patrick Harris,Jason Segel,Alyson Hannigan,Cobie Smulders,Neil Patrick Harris
475858,Entertainment & Pop Culture,Television,Hard,1200,What is the name of the TV show that aired from 1990 to 1996 and starred Will Smith as a teenager from Philadelphia?,The Fresh Prince of Bel-Air,Roseanne,Home Improvement,Married... with Children,The Fresh Prince of Bel-Air
475858,Entertainment & Pop Culture,Television,Hard,1200,Who played the role of Cersei Lannister in the TV series Game of Thrones?,Emilia Clarke,Lena Headey,Maisie Williams,Sophie Turner,Lena Headey
