QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
616398,Academic & Education,Computer Science,Medium,900,.rs is the top-level domain for what country?,Serbia,Romania,Russia,Rwanda,Serbia
616398,Academic & Education,Computer Science,Medium,900,The name of technology company HP stands for what?,Hewlett-Packard,Howard Packmann,Husker-Pollosk,Hellman-Pohl,Hewlett-Packard
616398,Academic & Education,Computer Science,Medium,900,What was the name given to Android 4.3?,Jelly Bean,Lollipop,Nutella,Froyo,Jelly Bean
616398,Academic & Education,Computer Science,Medium,900,"Originally used in PCM adapters, what frequency is the standard for sampling audio in the Compact Disc Digital Audio format?",44.1 kHz,32.0 kHz,1.5 MHz,20.5 kHz,44.1 kHz
616398,Academic & Education,Computer Science,Medium,900,What was Bitcoin's block size limit in 2010?,1 MB,1GB,1 KB,1 TB,1 MB
616398,Academic & Education,Computer Science,Medium,900,"In CSS, which of these values CANNOT be used with the ""position"" property?",center,static,absolute,relative,center
616398,Academic & Education,Computer Science,Medium,900,What is the number of keys on a standard Windows Keyboard?,104,64,94,76,104
616398,Academic & Education,Computer Science,Medium,900,"When did the online streaming service ""Mixer"" launch?",2016,2013,2009,2011,2016
616398,Academic & Education,Computer Science,Medium,900,"Generally, which component of a computer draws the most power?",Video Card,Hard Drive,Processor,Power Supply,Video Card
616398,Academic & Education,Computer Science,Medium,900,Unix Time is defined as the number of seconds that have elapsed since when?,"Midnight, January 1, 1970","Midnight, July 4, 1976",Midnight on the creator of Unix's birthday,"Midnight, July 4, 1980","Midnight, January 1, 1970"
