QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
626380,Languages,English,Medium,900,Identify the correct form of the possessive adjective in the sentence: 'That is ______ car.',my,me,mine,myself,my
626380,Languages,English,Medium,900,Which of the following sentences is in the passive voice?,The chef cooked dinner.,Dinner is being cooked by the chef.,The chef is cooking dinner.,The chef will cook dinner.,B
626380,Languages,English,Medium,900,"Choose the correct form of the verb in the sentence: 'By next year, I ______ English for five years.'",will have been studying,will be studying,have been studying,am studying,will have been studying
626380,Languages,English,Medium,900,Which word is a synonym for 'exacerbate'?,Alleviate,Worsen,Mitigate,Ease,Worsen
626380,Languages,English,Medium,900,Select the sentence with the correct use of commas.,"I had eggs, toast and orange juice for breakfast.","I had eggs, toast, and orange juice for breakfast.",I had eggs toast and orange juice for breakfast.,"I had eggs toast, and orange juice for breakfast.","I had eggs, toast, and orange juice for breakfast."
626380,Languages,English,Medium,900,What is the meaning of the word 'perspicacious'?,Having a strong and unpleasant smell,Having a keen understanding and insight,Lacking energy and enthusiasm,Relating to the sense of sight,Having a keen understanding and insight
626380,Languages,English,Medium,900,Identify the type of clause in the sentence: 'I went to the store because I needed milk.',Independent clause,Dependent clause,Relative clause,Subordinate clause,Subordinate clause
626380,Languages,English,Medium,900,Which of the following is an example of an oxymoron?,Bitter sweet,Dark night,Happy face,Fast car,Bitter sweet
626380,Languages,English,Medium,900,Choose the sentence with the correct subject-verb agreement.,The team are playing well.,The team is playing well.,The team be playing well.,The team been playing well.,The team is playing well.
626380,Languages,English,Medium,900,"Select the correct form of the verb in the sentence: 'If I ______ rich, I would travel the world.'",am,is,were,been,were
