QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
809105,Entertainment & Pop Culture,Web Series,Hard,1200,"Which web series is set in the fictional town of Stars Hollow, Connecticut?",The Marvelous Mrs. Maisel,Gilmore Girls,Stranger Things,The Haunting of Hill House,OptionB
809105,Entertainment & Pop Culture,Web Series,Hard,1200,What is the name of the web series that follows the story of a chemistry teacher turned meth kingpin?,Narcos,The Punisher,Breaking Bad,Ozark,OptionC
809105,Entertainment & Pop Culture,Web Series,Hard,1200,Which web series is based on the novel of the same name by Caroline Kepnes?,Killing Eve,You,The Sinner,Mindhunter,OptionB
809105,Entertainment & Pop Culture,Web Series,Hard,1200,"What is the name of the web series that follows the story of a group of teenagers in the fictional town of Hawkins, Indiana?",The Vampire Diaries,The Walking Dead,Stranger Things,Riverdale,OptionC
809105,Entertainment & Pop Culture,Web Series,Hard,1200,Which web series is a psychological thriller that follows the story of a young woman who returns to her hometown after a traumatic event?,The Haunting of Hill House,The Sinner,Sharp Objects,Mindhunter,OptionC
809105,Entertainment & Pop Culture,Web Series,Hard,1200,What is the name of the web series that follows the story of a group of people who are trapped in a mysterious place known as the 'Upside Down'?,Black Mirror,The Haunting of Hill House,Stranger Things,The Twilight Zone,OptionC
809105,Entertainment & Pop Culture,Web Series,Hard,1200,Which web series is a comedy-drama that follows the story of a woman who is navigating her life after a divorce?,Schitt's Creek,Fleabag,The Marvelous Mrs. Maisel,Shrill,OptionC
809105,Entertainment & Pop Culture,Web Series,Hard,1200,What is the name of the web series that follows the story of a group of detectives who are investigating a series of murders in the 1970s?,Mindhunter,Narcos,The Sinner,Ozark,OptionA
809105,Entertainment & Pop Culture,Web Series,Hard,1200,Which web series is a science fiction epic that follows the story of a group of characters in a dystopian future?,Westworld,Black Mirror,The Expanse,Altered Carbon,OptionA
809105,Entertainment & Pop Culture,Web Series,Hard,1200,What is the name of the web series that follows the story of a young woman who is a con artist and is trying to navigate her life in New York City?,Inventing Anna,The Sinner,You,Katy Keene,OptionA
