QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
834356,Arts & Humanities,Literature,Hard,1200,"In the Magic: The Gathering universe,  the Antiquities, Ice Age, and Alliances expansions take place on which continent?",Aerona,Jamuraa,Terisiare,Shiv,Terisiare
834356,Arts & Humanities,Literature,Hard,1200,"In the Harry Potter universe, who does Draco Malfoy end up marrying?",Pansy Parkinson,Astoria Greengrass,Hermione Granger,Millicent Bulstrode,Astoria Greengrass
834356,Arts & Humanities,Literature,Hard,1200,"In the Beatrix Potter books, what type of animal is Tommy Brock?",Fox,Badger,Frog,Rabbit,Badger
834356,Arts & Humanities,Literature,Hard,1200,"In which classic novel by Mark Twain did a beggar and Prince of Wales switch clothes, and learn about social class inequality?",Wealthy Boy and the Schmuck,A Modern Twain Story,The Prince and the Pauper,Hamlet,The Prince and the Pauper
834356,Arts & Humanities,Literature,Hard,1200,"Which author co-wrote ""The Communist Manifesto"" alongside Karl Marx?",Paul Lafargue,Alexander Kerensky,Robert Owen,Friedrich Engels,Friedrich Engels
834356,Arts & Humanities,Literature,Hard,1200,"In the ""Harry Potter"" series, what is Headmaster Dumbledore's full name?",Albus Percival Wulfric Brian Dumbledore,Albus James Lunae Otto Dumbledore,Albus Valum Jetta Mobius Dumbledore,Albus Valencium Horatio Kul Dumbledore,Albus Percival Wulfric Brian Dumbledore
834356,Arts & Humanities,Literature,Hard,1200,Which of the following is NOT a work done by Shakespeare?,Titus Andronicus,Trial of Temperance,Cymbeline,Measure For Measure,Trial of Temperance
834356,Arts & Humanities,Literature,Hard,1200,"Which author and poet famously wrote the line, ""The female of the species is more deadly than the male""?",Rudyard Kipling,Edgar Allan Poe,William Shakespeare,William Wordsworth,Rudyard Kipling
834356,Arts & Humanities,Literature,Hard,1200,Which fictional English county was the setting for Thomas Hardy's novels?,Wessex,Ambridge,Barsetshire,Fulchester,Wessex
834356,Arts & Humanities,Literature,Hard,1200,"Who wrote the novel ""Moby-Dick""?",Herman Melville,J. R. R. Tolkien,William Golding,William Shakespeare,Herman Melville
