QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
504490,Fun & Casual,Personality Quizzes,Hard,1200,Which pop culture character is most associated with the Myers-Briggs personality type INFJ?,Hermione Granger,Atticus Finch,Jon Snow,Katniss Everdeen,Jon Snow
504490,Fun & Casual,Personality Quizzes,Hard,1200,What color is commonly associated with the personality trait 'calmness' in color psychology?,Red,Blue,Yellow,Green,Blue
504490,Fun & Casual,Personality Quizzes,Hard,1200,Which of the following animals is considered to symbolize creative personality traits in popular quizzes?,Wolf,Dolphin,Eagle,Lion,Dolphin
504490,Fun & Casual,Personality Quizzes,Hard,1200,"In the Enneagram system, which number is labeled as 'The Achiever'?",2,3,8,6,3
504490,Fun & Casual,Personality Quizzes,Hard,1200,Which Hogwarts house is often paired with the personality trait 'ambition'?,Ravenclaw,Slytherin,Hufflepuff,Gryffindor,Slytherin
504490,Fun & Casual,Personality Quizzes,Hard,1200,Which of the following is NOT one of the Big Five personality traits?,Openness,Assertiveness,Conscientiousness,Agreeableness,Assertiveness
504490,Fun & Casual,Personality Quizzes,Hard,1200,Which celebrity is most frequently cited as an ENFP in personality quizzes?,Lady Gaga,Emma Watson,Steve Jobs,Oprah Winfrey,Robert Downey Jr.
504490,Fun & Casual,Personality Quizzes,Hard,1200,"In popular internet personality quizzes, what dessert is often matched with the trait 'spontaneity'?",Chocolate Cake,Apple Pie,Ice Cream,Croissant,Ice Cream
504490,Fun & Casual,Personality Quizzes,Hard,1200,Which fictional location is most likely to be assigned to introverts in fun personality quizzes?,Downtown Manhattan,Enchanted Forest,Pirate Ship,Grand Ballroom,Enchanted Forest
504490,Fun & Casual,Personality Quizzes,Hard,1200,"According to personality quizzes, which activity is considered most indicative of an adventurous spirit?",Reading books,Skydiving,Gardening,Painting,Skydiving
