QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
727344,"AI, Ethics & Future",Robotics,Medium,900,Which ethical principle is especially crucial when developing AI-driven robotics for healthcare?,Autonomy,Justice,Non-maleficence,Beneficence,Non-maleficence
727344,"AI, Ethics & Future",Robotics,Medium,900,"What term is used for robots making decisions independently, without human intervention?",Autonomy,Efficiency,Transparency,Heuristics,Autonomy
727344,"AI, Ethics & Future",Robotics,Medium,900,Which of the following is a primary concern about the use of AI in surveillance robots?,Energy consumption,Job displacement,Privacy infringement,Physical dexterity,Privacy infringement
727344,"AI, Ethics & Future",Robotics,Medium,900,The concept of 'Robot Rights' is most closely related to which ethical topic?,Animal welfare,Digital personhood,Environmental sustainability,Economic inequality,Digital personhood
727344,"AI, Ethics & Future",Robotics,Medium,900,"In the context of AI ethics, what does 'algorithmic bias' in robotics mainly refer to?",Robots making errors in navigation,Robots consistently preferring certain outcomes,Robots using outdated code,Robots being unable to learn,Robots consistently preferring certain outcomes
727344,"AI, Ethics & Future",Robotics,Medium,900,Which regulation aims to ensure data protection and privacy for users interacting with AI and robotics within the EU?,COPPA,GDPR,HIPAA,FERPA,GDPR
727344,"AI, Ethics & Future",Robotics,Medium,900,A key argument against granting robots legal personhood is:,Robots cannot own property,Robots lack consciousness and moral agency,Robots are environmentally harmful,Robots require constant maintenance,Robots lack consciousness and moral agency
727344,"AI, Ethics & Future",Robotics,Medium,900,One feared impact of widespread AI robotics on the workforce is:,Increased workplace collaboration,Higher levels of creativity,Job automation and unemployment,Better health and safety standards,Job automation and unemployment
727344,"AI, Ethics & Future",Robotics,Medium,900,Which ethical challenge arises when using autonomous military robots?,Energy supply,Security encryption,Accountability for actions,Cost of production,Accountability for actions
727344,"AI, Ethics & Future",Robotics,Medium,900,What is a future risk if AI-powered robots evolve beyond human control?,Increased demand for programmers,Undermining of human authority,Enhanced international cooperation,Cheaper consumer electronics,Undermining of human authority
