QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
959847,Science & Innovation,Space Science,Medium,900,What do you study if you are studying entomology?,Fish,Insects,Humans,the Brain,Insects
959847,Science & Innovation,Space Science,Medium,900,Who developed the first successful polio vaccine in the 1950s?,John F. Enders,Frederick Robbins,Jonas Salk,Thomas Weller,Jonas Salk
959847,Science & Innovation,Space Science,Medium,900,What is the largest living organism currently known to man?,Redwood Tree,Honey Fungus,Blue Whale,The Coral Reef,Honey Fungus
959847,Science & Innovation,Space Science,Medium,900,How old is the universe?,13.8 Billion Years,7.9 Billion Years,16.2 Billion Years,4.5 Billion Years,13.8 Billion Years
959847,Science & Innovation,Space Science,Medium,900,What is the standard SI unit for electric current?,Ampere,Volt,Ohm,Watt,Ampere
959847,Science & Innovation,Space Science,Medium,900,The medical condition osteoporosis affects which part of the body?,Skin,Brain,Heart,Bones,Bones
959847,Science & Innovation,Space Science,Medium,900,What is radiation measured in?,Kelvin,Gray ,Watt,Decibel,Gray 
959847,Science & Innovation,Space Science,Medium,900,Which portion of the Marijuana plant produces the psychoactive substance known as THC?,Female Flower,Male Flower,Leaves,Root Ball,Female Flower
959847,Science & Innovation,Space Science,Medium,900,"The humerus, paired radius, and ulna come together to form what joint?",Elbow,Ankle,Knee,Sholder,Elbow
959847,Science & Innovation,Space Science,Medium,900,What is the scientific term for 'taste'?,Auditory Perception,Olfaction,Somatosensation,Gustatory Perception,Gustatory Perception
