QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
810629,Sports & Games,Football,Hard,1200,Which player holds the record for the most goals scored in a single FIFA World Cup tournament?,Lionel Messi,Pelé,Just Fontaine,Ronaldo,Just Fontaine
810629,Sports & Games,Football,Hard,1200,Which club has won the most UEFA Champions League titles as of 2023?,Barcelona,AC Milan,Bayern Munich,Real Madrid,Real Madrid
810629,Sports & Games,Football,Hard,1200,In which year was the first FIFA World Cup held?,1926,1930,1934,1942,1930
810629,Sports & Games,Football,Hard,1200,Who was the first player to score in five different FIFA World Cup tournaments?,Pelé,Cristiano Ronaldo,Miroslav Klose,Diego Maradona,Cristiano Ronaldo
810629,Sports & Games,Football,Hard,1200,Which country has won the most Copa América titles?,Brazil,Argentina,Uruguay,Chile,Uruguay
810629,Sports & Games,Football,Hard,1200,Which goalkeeper holds the record for the most clean sheets in Premier League history?,David de Gea,Petr Čech,Edwin van der Sar,Peter Schmeichel,Petr Čech
810629,Sports & Games,Football,Hard,1200,What is the maximum number of substitutions allowed per team in a single match under current FIFA rules?,3,4,5,6,5
810629,Sports & Games,Football,Hard,1200,Which player scored the fastest goal in UEFA European Championship history?,Cristiano Ronaldo,Thierry Henry,Dmitri Kirichenko,Robbie Brady,Dmitri Kirichenko
810629,Sports & Games,Football,Hard,1200,Which stadium hosted the 2010 FIFA World Cup final?,Maracanã Stadium,Soccer City,Wembley Stadium,Estadio Azteca,Soccer City
810629,Sports & Games,Football,Hard,1200,Who was the first English player to win the Ballon d'Or?,Bobby Moore,Geoff Hurst,Stanley Matthews,Kevin Keegan,Stanley Matthews
