QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
727591,Competitive Exams,Medical Entrance Exams,Easy,600,Which of the following is the basic unit of life?,Atom,Cell,Molecule,Tissue,Cell
727591,Competitive Exams,Medical Entrance Exams,Easy,600,What is the normal human body temperature in Celsius?,35.5°C,36.5°C,37.5°C,38.0°C,37.5°C
727591,Competitive Exams,Medical Entrance Exams,Easy,600,How many bones does an adult human skeleton have?,206 bones,212 bones,200 bones,210 bones,206 bones
727591,Competitive Exams,Medical Entrance Exams,Easy,600,Which blood type is considered the universal donor?,Type A,Type B,Type AB,Type O,Type O
727591,Competitive Exams,Medical Entrance Exams,Easy,600,Which chamber of the heart pumps oxygenated blood to the body?,Right atrium,Right ventricle,Left atrium,Left ventricle,Left ventricle
727591,Competitive Exams,Medical Entrance Exams,Easy,600,What is the powerhouse of the cell?,Nucleus,Endoplasmic reticulum,Mitochondria,Golgi apparatus,Mitochondria
727591,Competitive Exams,Medical Entrance Exams,Easy,600,How many chromosomes are present in a normal human somatic cell?,23,46,48,24,46
727591,Competitive Exams,Medical Entrance Exams,Easy,600,Which organ produces insulin?,Liver,Stomach,Kidney,Pancreas,Pancreas
727591,Competitive Exams,Medical Entrance Exams,Easy,600,What is the normal range for human blood pH?,5.5 - 6.5,6.5 - 7.0,7.35 - 7.45,8.0 - 8.5,7.35 - 7.45
727591,Competitive Exams,Medical Entrance Exams,Easy,600,Which part of the brain controls breathing and heart rate?,Cerebrum,Cerebellum,Brain stem,Spinal cord,Brain stem
