QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
950346,Technology & Computing,Artificial Intelligence & Machine Learning,Medium,900,Which of the following is NOT a type of machine learning?,Reinforcement Learning,Supervised Learning,Unsupervised Learning,Integrated Learning,Integrated Learning
950346,Technology & Computing,Artificial Intelligence & Machine Learning,Medium,900,What does 'overfitting' in machine learning mean?,When the model fits the training data but fails to generalize to new data,When the model perfectly fits both training and test data,When the model does not perform inference quickly enough,When the model cannot learn from training data,When the model fits the training data but fails to generalize to new data
950346,Technology & Computing,Artificial Intelligence & Machine Learning,Medium,900,Which algorithm is commonly used for dimensionality reduction?,Principal Component Analysis (PCA),K-Means Clustering,Decision Trees,Neural Networks,Principal Component Analysis (PCA)
950346,Technology & Computing,Artificial Intelligence & Machine Learning,Medium,900,What is the primary purpose of an activation function in neural networks?,To add bias to the input data,To introduce non-linearity to the model,To normalize the outputs of the model,To optimize the learning rate,To introduce non-linearity to the model
950346,Technology & Computing,Artificial Intelligence & Machine Learning,Medium,900,Which of these is a popular performance metric for regression models?,Confusion Matrix,Mean Absolute Error (MAE),F1 Score,Precision,Mean Absolute Error (MAE)
950346,Technology & Computing,Artificial Intelligence & Machine Learning,Medium,900,"In the context of artificial intelligence, what does NLP stand for?",Natural Language Processing,Neural Learning Programming,Network Layer Protocol,Non-Linear Perception,Natural Language Processing
950346,Technology & Computing,Artificial Intelligence & Machine Learning,Medium,900,Which of the following is an example of an unsupervised learning task?,Text Classification,Regression,Clustering,Forecasting,Clustering
950346,Technology & Computing,Artificial Intelligence & Machine Learning,Medium,900,What is the role of a 'loss function' in machine learning models?,To evaluate the accuracy of the model,To calculate the difference between predicted and actual values,To reduce overfitting,To decide the learning rate,To calculate the difference between predicted and actual values
950346,Technology & Computing,Artificial Intelligence & Machine Learning,Medium,900,Which of the following methods is typically used to prevent overfitting in deep learning?,Gradient Descent,Random Initialization,Dropout Regularization,Cross Entropy Loss,Dropout Regularization
950346,Technology & Computing,Artificial Intelligence & Machine Learning,Medium,900,"In machine learning, what does the term 'training data' refer to?",Data the algorithm applies to real-world scenarios,Data used to improve algorithmic training models,Data used to verify model performance,Data used to teach the model during development,Data used to teach the model during development
