QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
770873,Arts & Humanities,Fine Arts,Easy,600,Which painting was not made by Vincent Van Gogh?,Bedroom In Arles,Starry Night,The Ninth Wave,Café Terrace at Night,The Ninth Wave
770873,Arts & Humanities,Fine Arts,Easy,600,What is the world's oldest known piece of fiction?,Rosetta Stone,Epic of Gilgamesh,Code of Hammurabi,Papyrus of Ani,Epic of Gilgamesh
770873,Arts & Humanities,Fine Arts,Easy,600,"Who painted ""The Starry Night""?",Edvard Munch,Claude Monet,Pablo Picasso,Vincent van Gogh,Vincent van Gogh
770873,Arts & Humanities,Fine Arts,Easy,600, What color is produced by mixing black and white?,White,Grey,Brown,Black,Grey
770873,Arts & Humanities,Fine Arts,Easy,600,Who painted the biblical fresco The Creation of Adam?,Rembrandt,Caravaggio,Leonardo da Vinci,Michelangelo,Michelangelo
770873,Arts & Humanities,Fine Arts,Easy,600,Who painted the Mona Lisa?,Leonardo da Vinci ,Michelangelo, Vincent van Gogh,Pablo Picasso,Leonardo da Vinci 
770873,Arts & Humanities,Fine Arts,Easy,600,"Who painted ""Swans Reflecting Elephants"", ""Sleep"", and ""The Persistence of Memory""?",Edgar Degas,Vincent van Gogh,Salvador Dali,Jackson Pollock,Salvador Dali
770873,Arts & Humanities,Fine Arts,Easy,600,What is a fundamental element of the Gothic style of architecture?,façades surmounted by a pediment ,internal frescoes,coffered ceilings,pointed arch,pointed arch
770873,Arts & Humanities,Fine Arts,Easy,600,Who painted The Starry Night?,Pablo Picasso,Vincent van Gogh,Michelangelo,Leonardo da Vinci,Vincent van Gogh
770873,Arts & Humanities,Fine Arts,Easy,600,Who painted the Mona Lisa?,Pablo Picasso,Claude Monet,Leonardo da Vinci,Vincent van Gogh,Leonardo da Vinci
