QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
166555,Gaming,Video Games,Hard,1200,Which was the first M-rated video game developed by Squaresoft/Square Enix?,Vagrant Story,Front Mission,Final Fantasy VIII,Parasite Eve,Parasite Eve
166555,Gaming,Video Games,Hard,1200,When was Pokemon GO released in North America?,"May 24th, 2016","July 6th, 2016","January 2nd, 2017","June 5th, 2016","July 6th, 2016"
166555,Gaming,Video Games,Hard,1200,"What vault in the video game ""Fallout 3"" is the home of multiple clones named Gary?",Vault 101,Vault 21,Vault 87,Vault 108,Vault 108
166555,Gaming,Video Games,Hard,1200,"Which Kingdom Hearts game featured the cast of ""The World Ends With You""?",Dream Drop Distance,365/2 Days,Re:Chain of Memories,Birth By Sleep,Dream Drop Distance
166555,Gaming,Video Games,Hard,1200,"The Internet Meme ""All your base are belong to us"" is based on the poorly translated English Version of which Video Game?",Star Wars: X-Wing,Wing Commander,F-Zero,Zero Wing,Zero Wing
166555,Gaming,Video Games,Hard,1200,"What's the name of the halloween-related Sims 4 Stuff Pack released September 29th, 2015?",Ghosts n' Ghouls,Spooky Stuff,Fearful Frights,Nerving Nights,Spooky Stuff
166555,Gaming,Video Games,Hard,1200,Which souls game was not directed by Hidetaka Miyazaki?,Demon Souls,Dark Souls 2,Dark Souls 3,Dark Souls,Dark Souls 2
166555,Gaming,Video Games,Hard,1200,"In the title of the game ""Luigi's Mansion"", what is the only letter to not appear with a pair of eyes in it?",s,n,i,m,s
166555,Gaming,Video Games,Hard,1200,The creeper in Minecraft was the result of a bug while implementing which creature?,Cow,Zombie,Chicken,Pig,Pig
166555,Gaming,Video Games,Hard,1200,"What is the default name of the Vampire character in ""Shining Soul 2"".",Sachs,Bloodstar,Alucard,Dracuul,Bloodstar
