QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
135471,Academic & Education,Education & Teaching,Medium,900,Which of the following best describes the primary goal of differentiated instruction in a classroom?,To assign different homework to every student based on their interests.,"To provide varied approaches to content, process, and product to meet individual student needs.",To group students strictly by academic ability for all lessons.,To ensure all students complete the same tasks at the same pace.,OptionB
135471,Academic & Education,Education & Teaching,Medium,900,"A teacher regularly uses exit tickets, thumbs-up/down checks, and short quizzes during a lesson to gauge student understanding and adjust instruction. This is an example of what type of assessment?",Summative assessment,Diagnostic assessment,Formative assessment,Standardized assessment,OptionC
135471,Academic & Education,Education & Teaching,Medium,900,"According to constructivist learning theory, students primarily learn best when they:",Are passively lectured by the teacher.,Memorize facts presented in textbooks.,Actively construct their own understanding through experience and reflection.,Work independently on assigned tasks without peer interaction.,OptionC
135471,Academic & Education,Education & Teaching,Medium,900,Which of the following is the most effective proactive strategy for classroom management?,Implementing strict penalties after misbehavior occurs.,Clearly establishing and teaching classroom rules and routines at the beginning of the year.,Sending students out of the classroom for every minor infraction.,Ignoring minor disruptive behaviors to avoid escalation.,OptionB
135471,Academic & Education,Education & Teaching,Medium,900,Universal Design for Learning (UDL) primarily aims to:,Create individual education plans (IEPs) for students with disabilities.,Design instruction and materials to be accessible to the widest range of learners from the outset.,Provide additional support only to struggling students after they fall behind.,Standardize all teaching methods to ensure consistency across classrooms.,OptionB
135471,Academic & Education,Education & Teaching,Medium,900,A teacher asks students to use their knowledge of fractions to bake a cake using a scaled recipe. This task primarily targets which level of Bloom's Taxonomy (revised)?,Remembering,Understanding,Applying,Analyzing,OptionC
135471,Academic & Education,Education & Teaching,Medium,900,What is the main purpose of a Professional Learning Community (PLC) among teachers?,To discuss school politics and administrative decisions.,To collaboratively work towards improving student learning and teaching practices.,To plan social events for the school staff.,To primarily share personal anecdotes about difficult students.,OptionB
135471,Academic & Education,Education & Teaching,Medium,900,"Which characteristic is NOT typically part of a well-formulated, ""SMART"" learning objective?",Measurable,Achievable,Subjective,Time-bound,OptionC
135471,Academic & Education,Education & Teaching,Medium,900,Which of the following is a core competency typically addressed in Socio-Emotional Learning (SEL) programs?,Advanced mathematical reasoning,Coding and programming skills,Self-awareness and relationship skills,Foreign language fluency,OptionC
135471,Academic & Education,Education & Teaching,Medium,900,"In an inquiry-based learning environment, the teacher's primary role is typically to:",Provide all answers and direct students step-by-step through tasks.,"Facilitate student questioning, exploration, and discovery.",Strictly adhere to a pre-set curriculum without deviation.,Assess students solely on their ability to recall factual information.,OptionB
