QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
683517,Entertainment & Pop Culture,OTT Platforms,Easy,600,What does OTT stand for in the context of streaming services?,Over The Top,Online Television Transmission,On-demand Television Transmission,Original Television Transmission,Over The Top
683517,Entertainment & Pop Culture,OTT Platforms,Easy,600,Which of the following is a popular OTT platform?,YouTube,Netflix,Amazon,All of the above,All of the above
683517,Entertainment & Pop Culture,OTT Platforms,Easy,600,What type of content is typically offered by OTT platforms?,Live sports only,On-demand videos,Music streaming only,Podcasts only,On-demand videos
683517,Entertainment & Pop Culture,OTT Platforms,Easy,600,"Which OTT platform is known for its original content, including 'Stranger Things'?",Hulu,Amazon Prime Video,Disney+,Netflix,Netflix
683517,Entertainment & Pop Culture,OTT Platforms,Easy,600,What is a key feature of OTT platforms that distinguishes them from traditional TV?,Scheduled programming,Ad-free content,On-demand viewing,Live events only,On-demand viewing
683517,Entertainment & Pop Culture,OTT Platforms,Easy,600,Which of the following OTT platforms offers a free version with ads?,Netflix,Amazon Prime Video,Hulu,Disney+,Hulu
683517,Entertainment & Pop Culture,OTT Platforms,Easy,600,What is the primary way that OTT platforms deliver content to users?,DVDs by mail,Digital downloads,Streaming over the internet,Satellite transmission,Streaming over the internet
683517,Entertainment & Pop Culture,OTT Platforms,Easy,600,"Which OTT platform is focused on streaming Disney, Pixar, Marvel, and Star Wars content?",Netflix,Amazon Prime Video,Hulu,Disney+,Disney+
683517,Entertainment & Pop Culture,OTT Platforms,Easy,600,What is a benefit of using OTT platforms for users?,Limited content options,High cost,"Ability to watch content anywhere, anytime",Requirement for a cable subscription,"Ability to watch content anywhere, anytime"
683517,Entertainment & Pop Culture,OTT Platforms,Easy,600,Which of the following is NOT a characteristic of OTT platforms?,Personalization,On-demand content,Linear programming,Multiple device support,Linear programming
